l2_id,l1_code,l2_slug,name_ko,description,sort_order,l2_type,expansion_axis,target_l3,wave,model_scout,model_gemini,generated_at
01-celeb-diet,01,celeb-diet,연예인 다이어트,연예인들의 다이어트 식단과 운동법 등 건강 관리 정보를 다룹니다.,36,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-celeb-wedding,01,celeb-wedding,연예인 결혼,연예인들의 결혼 소식과 웨딩 화보 및 관련 이슈를 다룹니다.,37,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-drama-actor,01,drama-actor,드라마 배우,드라마 출연 배우들의 프로필과 연기 활동 정보를 다룹니다.,38,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-mc,01,mc,예능 MC,예능 프로그램의 진행자 정보와 활약상을 다룹니다.,39,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-celeb-insta,01,celeb-insta,연예인 인스타,연예인들의 인스타그램 속 일상과 화제 된 게시물을 소개합니다.,40,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-stock-beginner,02,stock-beginner,주식 입문,주식 투자를 시작하는 초보자를 위한 기초 지식과 가이드를 제공합니다.,16,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-etf-investment,02,etf-investment,ETF 투자,상장지수펀드(ETF)의 개념부터 종목 분석 및 투자 전략을 다룹니다.,17,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-dividend-stocks,02,dividend-stocks,배당주,배당 수익을 목적으로 하는 투자 전략과 우량 배당주 정보를 공유합니다.,18,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-financial-planning-beginner,02,financial-planning-beginner,재테크 입문,자산 형성을 시작하는 사회초년생을 위한 기초 재테크 방법론을 다룹니다.,19,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-tax-saving-methods,02,tax-saving-methods,절세 방법,금융 및 일상생활에서 활용 가능한 합법적인 세금 절약 노하우를 제공합니다.,20,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-retirement-savings,02,retirement-savings,연금저축,노후 대비를 위한 연금저축 계좌의 운용 및 세액공제 혜택을 설명합니다.,21,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-irp-account,02,irp-account,IRP 계좌,"개인형 퇴직연금(IRP) 계좌의 개설, 운용 및 절세 활용법을 다룹니다.",22,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-real-estate-subscription,02,real-estate-subscription,부동산 청약,아파트 청약 자격 조건과 당첨 전략 및 분양 정보를 안내합니다.,23,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-lease-vs-rent,02,lease-vs-rent,전세 vs 월세,주거 형태별 장단점 비교와 상황에 맞는 임대차 계약 전략을 제시합니다.,24,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-loan-interest-rate,02,loan-interest-rate,대출 금리,주택담보대출 및 신용대출 금리 동향과 이자 부담을 줄이는 방법을 다룹니다.,25,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-credit-score,02,credit-score,신용점수,신용점수 산정 원리와 점수를 올리기 위한 효율적인 관리법을 공유합니다.,26,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-credit-card-benefits,02,credit-card-benefits,카드 혜택,신용카드 및 체크카드의 주요 혜택과 체리피킹 전략을 분석합니다.,27,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-budget-friendly-phone,02,budget-friendly-phone,알뜰폰,통신비 절감을 위한 알뜰폰 요금제 비교 및 가입 정보를 제공합니다.,28,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-communication-cost-saving,02,communication-cost-saving,통신비 절약,결합 할인 및 요금제 최적화를 통해 고정 통신비를 줄이는 팁을 다룹니다.,29,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-living-cost-saving,02,living-cost-saving,생활비 절약,"앱테크, 포인트 활용 등 일상 속에서 생활비를 아끼는 실천법을 공유합니다.",30,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-exchange-rate-info,02,exchange-rate-info,환율 정보,환율 변동 추이와 외화 투자 및 환전 시 유리한 타이밍을 분석합니다.,31,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-cryptocurrency-intro,02,cryptocurrency-intro,코인 입문,가상자산 시장의 기초 개념과 안전한 거래소 이용법을 안내합니다.,32,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-deposit-interest-rate,02,deposit-interest-rate,예금 금리,은행별 예금 금리 비교와 이자 수익을 극대화하는 예치 전략을 공유합니다.,33,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-time-deposit-recommendation,02,time-deposit-recommendation,적금 추천,목돈 마련을 위한 고금리 적금 상품 및 특판 정보를 추천합니다.,34,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-consumption-habits,02,consumption-habits,소비습관,지출을 통제하고 올바른 경제 관념을 세우기 위한 소비 습관 교정법을 다룹니다.,35,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-household-book-keeping,02,household-book-keeping,가계부 작성,가계부 작성법과 이를 통한 자산 흐름 파악 및 예산 관리법을 공유합니다.,36,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-us-stocks,02,us-stocks,미국 주식,미국 시장의 주요 지수와 유망 종목 분석 및 투자 정보를 다룹니다.,37,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-kr-stocks,02,kr-stocks,국내 주식,국내 증시 현황과 개별 종목 분석 및 투자 전략을 공유합니다.,38,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-inheritance-donation,02,inheritance-donation,상속 증여,상속세와 증여세의 기본 개념 및 사전 대비를 위한 절세 전략을 안내합니다.,39,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-unemployment-benefits,02,unemployment-benefits,실업급여,실업급여 수급 자격 확인과 신청 절차 및 수령 방법을 상세히 안내합니다.,40,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-youth-jump-account,02,youth-jump-account,청년 도약계좌,청년 도약계좌의 가입 조건과 혜택 및 운용 방법을 정리합니다.,41,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-gov-support-money,02,gov-support-money,정부지원금,개인이 받을 수 있는 각종 정부 보조금과 지원 정책 정보를 제공합니다.,42,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-small-business-support,02,small-business-support,소상공인 지원,소상공인을 위한 정부 지원 정책과 금융 혜택 정보를 다룹니다.,43,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-startup-funding,02,startup-funding,창업 자금,창업을 위한 정부 지원 사업과 대출 및 투자 유치 방법을 안내합니다.,44,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-freelancer-tax,02,freelancer-tax,프리랜서 세금,프리랜서의 종합소득세 신고와 사업소득세 절세 전략을 다룹니다.,45,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
02-year-end-tax-adjustment,02,year-end-tax-adjustment,연말정산,연말정산 공제 항목 확인과 환급금을 높이는 절세 전략을 공유합니다.,46,topic,재테크·경제,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
03-home-training,03,home-training,홈트레이닝,집에서 효율적으로 수행할 수 있는 운동 루틴과 실전 가이드를 제공합니다.,16,exercise,운동,20,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
03-yoga-beginner,03,yoga-beginner,요가 입문,초보자를 위한 요가 기본 동작과 수련 팁을 체계적으로 안내합니다.,17,exercise,운동,20,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
03-pilates,03,pilates,필라테스,체형 교정과 근력 강화를 위한 필라테스 동작 및 관련 정보를 공유합니다.,18,exercise,운동,20,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
03-stretching,03,stretching,스트레칭,부상 방지와 유연성 향상을 위한 부위별 스트레칭 방법을 다룹니다.,19,exercise,운동,20,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
03-gym-beginner,03,gym-beginner,헬스 입문,헬스장 이용법과 초보자를 위한 웨이트 트레이닝 기초 정보를 제공합니다.,20,exercise,운동,20,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
03-protein-diet,03,protein-diet,단백질 식단,근성장과 체중 조절을 돕는 고단백 식단 구성법과 레시피를 소개합니다.,21,diet,식단·건강,20,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
03-intermittent-fasting,03,intermittent-fasting,간헐적 단식,간헐적 단식의 올바른 방법과 주의사항 및 실천 팁을 다룹니다.,22,diet,식단·건강,20,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
03-low-sodium-diet,03,low-sodium-diet,저염 식단,나트륨 섭취를 줄이고 건강을 유지하는 저염 식단 관리법을 공유합니다.,23,diet,식단·건강,20,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
03-blood-sugar-management,03,blood-sugar-management,혈당 관리,식습관 개선을 통한 혈당 조절 방법과 관련 건강 정보를 제공합니다.,24,diet,식단·건강,20,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
03-cholesterol-management,03,cholesterol-management,콜레스테롤 관리,콜레스테롤 수치 개선을 위한 식단 관리와 생활 습관 정보를 다룹니다.,25,diet,식단·건강,20,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
04-spring-outfit,04,spring-outfit,봄 코디,봄 시즌에 어울리는 의류 조합과 스타일링 팁을 공유합니다.,16,season,시즌 코디,25,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
04-summer-outfit,04,summer-outfit,여름 코디,여름철 시원하고 세련된 옷차림을 위한 스타일링 가이드를 제공합니다.,17,season,시즌 코디,25,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
04-autumn-outfit,04,autumn-outfit,가을 코디,가을 분위기를 살리는 레이어드 및 의류 매치 방법을 제안합니다.,18,season,시즌 코디,25,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
04-winter-outfit,04,winter-outfit,겨울 코디,겨울철 보온성과 스타일을 모두 잡는 코디법을 소개합니다.,19,season,시즌 코디,25,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
04-transitional-season-outfit,04,transitional-season-outfit,환절기 코디,날씨 변화가 잦은 환절기에 활용하기 좋은 옷차림 전략을 다룹니다.,20,season,시즌 코디,25,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
04-office-wear,04,office-wear,오피스룩,직장인을 위한 단정하고 세련된 비즈니스 캐주얼 스타일링을 제안합니다.,21,style,스타일,20,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
04-date-night-outfit,04,date-night-outfit,데이트룩,특별한 날 분위기를 돋보이게 할 데이트 스타일링 팁을 공유합니다.,22,style,스타일,20,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
04-casual-outfit,04,casual-outfit,캐주얼 코디,일상에서 편안하게 연출할 수 있는 캐주얼 패션 아이디어를 다룹니다.,23,style,스타일,20,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
04-street-fashion,04,street-fashion,스트릿 패션,개성 넘치는 스트릿 스타일의 최신 트렌드와 코디법을 소개합니다.,24,style,스타일,20,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
04-vintage-fashion,04,vintage-fashion,빈티지 패션,빈티지 아이템을 활용한 감각적인 스타일링 노하우를 공유합니다.,25,style,스타일,20,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
04-plus-size-fashion,04,plus-size-fashion,플러스사이즈,체형의 장점을 살리는 플러스 사이즈 패션 스타일링 팁을 제안합니다.,26,style,스타일,20,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
04-daily-outfit,04,daily-outfit,데일리룩,매일 입기 좋은 실용적이고 트렌디한 일상 코디를 기록합니다.,27,style,스타일,20,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
04-interview-outfit,04,interview-outfit,면접 복장,취업 면접을 위한 격식 있는 복장 선택과 스타일링 가이드를 제공합니다.,28,style,스타일,20,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
04-denim-coordination,04,denim-coordination,데님 코디,다양한 데님 아이템을 활용한 세련된 코디법을 소개합니다.,29,style,스타일,20,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-overseas-soccer,05,overseas-soccer,해외축구,해외 축구 리그의 경기 분석과 선수 관련 소식을 다룹니다.,16,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-epl-analysis,05,epl-analysis,EPL 분석,잉글리시 프리미어리그의 경기 분석 및 팀 전략을 심층적으로 다룹니다.,17,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-champions-league-info,05,champions-league-info,챔스 정보,유럽 챔피언스리그의 경기 일정과 결과를 제공합니다.,18,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-world-cup,05,world-cup,월드컵,국제 축구 월드컵의 경기 분석 및 국가대표팀 소식을 다룹니다.,19,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-k-league,05,k-league,K리그,한국 프로 축구 리그의 경기 분석과 팀 소식을 전달합니다.,20,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-kbo-league,05,kbo-league,KBO 리그,한국 프로 야구 리그의 경기 분석과 팀 소식을 다룹니다.,21,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-mlb-info,05,mlb-info,MLB 정보,메이저 리그 야구의 경기 분석 및 팀 전략을 다룹니다.,22,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-nba-info,05,nba-info,NBA 정보,미국 프로 농구 리그의 경기 분석 및 팀 소식을 다룹니다.,23,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-golf-tournament,05,golf-tournament,골프 대회,주요 골프 대회의 일정 및 선수 성적 정보를 제공합니다.,24,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-esports,05,esports,e스포츠,전자 스포츠 경기의 분석 및 선수 관련 소식을 다룹니다.,25,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-olympics,05,olympics,올림픽,올림픽 경기 분석 및 국가대표팀의 소식을 다룹니다.,26,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-marathon,05,marathon,마라톤,마라톤 대회의 일정 및 참가 선수들의 성적을 다룹니다.,27,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-football-tactics,05,football-tactics,축구 전술,축구 경기 전략 및 팀 전술을 심층 분석합니다.,28,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-baseball-tactics,05,baseball-tactics,야구 전술,야구 경기 전략 및 팀 전술을 심층 분석합니다.,29,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-basketball-analysis,05,basketball-analysis,농구 분석,농구 경기 통계 및 팀 전략을 분석합니다.,30,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-volleyball-league,05,volleyball-league,배구 리그,배구 리그의 경기 일정 및 팀 순위 정보를 제공합니다.,31,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-martial-arts,05,martial-arts,격투기,격투기 경기 결과 및 선수 정보를 다룹니다.,32,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-ufc,05,ufc,UFC,UFC 경기 결과 및 선수 정보를 전문적으로 다룹니다.,33,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-sports-injury,05,sports-injury,스포츠 부상,스포츠 활동 중 발생하는 부상의 예방 및 치료 정보를 제공합니다.,34,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-player-transfer,05,player-transfer,선수 이적,스포츠 선수들의 이적 소식과 그에 따른 영향을 분석합니다.,35,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
05-sports-nutrition,05,sports-nutrition,스포츠 영양,스포츠 선수를 위한 영양 관리 및 식단 정보를 다룹니다.,36,topic,스포츠 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
