l2_id,l1_code,l2_slug,name_ko,description,sort_order,model,generated_at
10-healthy-convenience-food,10,healthy-convenience-food,건강 간편식,간편하게 먹는 건강한 식사 아이디어,4,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
10-ingredient-info,10,ingredient-info,식재료 정보,요리에 사용되는 다양한 식재료 정보,5,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
10-restaurant-review,10,restaurant-review,레스토랑 리뷰,다양한 레스토랑 및 음식점 리뷰,6,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
10-cooking-tips,10,cooking-tips,요리 팁,요리 기술을 향상시키는 팁 및 노하우,7,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
10-dessert-making,10,dessert-making,디저트 만들기,다양한 디저트 레시피 및 만들기 팁,8,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
10-food-trend,10,food-trend,푸드 트렌드,현재의 음식 및 요리 트렌드 분석,9,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
10-vegetarian-recipe,10,vegetarian-recipe,채식 레시피,채식 기반의 다양한 레시피 및 아이디어,10,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
10-meat-cooking,10,meat-cooking,육식 요리,고기를 사용한 다양한 요리법 및 팁,11,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
10-seafood-cooking,10,seafood-cooking,해물 요리,해산물을 사용한 다양한 요리법 및 팁,12,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
10-baking-guide,10,baking-guide,베이킹 가이드,빵 및 과자류 베이킹을 위한 가이드 및 팁,13,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
10-asian-cuisine,10,asian-cuisine,아시안 요리,아시아 스타일의 다양한 요리법 및 식문화,14,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
10-home-party-food,10,home-party-food,홈파티 음식,집에서 열리는 파티를 위한 음식 아이디어,15,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
11-domestic-travel-destinations,11,domestic-travel-destinations,국내여행지,국내 여행지 정보 및 리뷰,1,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
11-overseas-travel-destinations,11,overseas-travel-destinations,해외여행지,해외 여행지 정보 및 리뷰,2,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
11-travel-essentials,11,travel-essentials,여행준비물,여행 준비물 리스트 및 팁,3,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
11-travel-itinerary,11,travel-itinerary,여행일정,여행 일정 계획 및 관리 팁,4,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
11-accommodation-recommendations,11,accommodation-recommendations,숙소추천,숙소 추천 및 리뷰,5,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
11-travel-tips,11,travel-tips,여행꿀팁,여행 관련 꿀팁 및 정보,6,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
11-travel-diaries,11,travel-diaries,여행기,여행 경험 및 후기,7,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
11-travel-information,11,travel-information,여행정보,여행 관련 정보 및 소식,8,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
