l2_id,l1_code,name_ko,description
15-home-fragrance,15,홈프래그런스,디퓨저·향초·공간별 향. 반려동물 향 주의 명시.
15-home-office,15,홈오피스,재택 책상·의자·조명·집중 환경 셋업.
15-household-items,15,생활용품 리뷰,주방·욕실·소모품 등 살림템 리뷰.
15-interior,15,인테리어,무드·컬러·조명·전월세 셀프 꾸미기.
15-laundry-care,15,세탁·의류관리,빨래 분류·얼룩·건조·다림질·의류 보관.
15-minimal-life,15,미니멀라이프,비움·정리 기준·캡슐 옷장·소비 줄이기.
15-moving-prep,15,이사 준비,이사 체크리스트·업체·짐싸기·주소 이전.
15-organizing,15,정리수납,공간별 정리·분류·라벨링·정리 용품.
15-plants-gardening,15,식물·가드닝,반려식물·물주기·분갈이·베란다 텃밭.
15-recycling,15,분리수거·재활용,품목별 분리배출·음식물·대형폐기물·제로웨이스트.
15-season-housekeeping,15,계절 살림,계절별 청소·습기·난방·결로·계절 교체.
15-self-repair,15,셀프 수리·인테리어,공구·실리콘·벽지·수전 등 집 셀프 수리.
15-single-living,15,자취 살림,자취 필수템·좁은 집 살림·안전·공과금.
15-storage-furniture,15,수납·가구,수납 가구·선반·옷장·공간 활용 가구.
16-baby-food,16,이유식·유아식,이유식 단계·재료·알레르기·보관. 식단표/간식은 10 요리 L1 담당. 시기는 소아과 상담 권유.
16-child-health,16,아이 건강,발열·접종·성장·치아 등 아이 건강. 증상은 소아과 상담 권유.
16-childcare-logistics,16,등하원·돌봄,등하원 루틴·돌봄 서비스·긴급 돌봄 분담.
16-daycare-kindergarten,16,어린이집·유치원,기관 선택·입소·적응·선생님 소통.
16-discipline-habits,16,훈육·생활습관,한계 설정·떼쓰기·감정 코칭·생활 루틴.
16-elementary-learning,16,초등 학습,독서·공부 습관·국어 수학 기초·자기주도.
16-kids-content,16,키즈 콘텐츠,연령별 콘텐츠·시청 시간·유해 필터링.
16-kids-english,16,유아 영어,영어 노출·동요·파닉스·부담 없는 익힘.
16-newborn-care,16,신생아 케어,수유·트림·기저귀·목욕·산후 회복. 이상 시 진료 권유.
16-parenting-items,16,육아템 리뷰,유모차·카시트·아기띠 등 육아용품 리뷰. 카시트는 안전 인증 확인 권유.
16-parenting-subsidy,16,육아 지원금,부모급여·양육수당·첫만남이용권 등 지원금 신청. 시기/서류는 공식 안내 확인 권유.
16-pregnancy-birth,16,임신·출산,산전 검사·개월별 변화·출산 준비·산후조리. 정기 검진은 산부인과 권유.
16-private-education,16,학원·사교육,학원 선택·과목 우선순위·사교육비 관리. 아이 번아웃 주의.
16-toddler-play,16,유아 놀이·발달,오감·대근육·역할 놀이 등 발달 놀이. 월령별 발달 이해.
16-working-parents,16,워킹맘·워킹대디,육아휴직·단축근무·복직 등 일·육아 병행. 부모 자기 돌봄 포함.
17-career-pivot,17,커리어 전환,적성 점검·재교육·업종 전환 등 커리어 피벗.
17-civil-service,17,공무원·공기업 준비,직렬 선택·수험 계획·NCS 등 공무원/공기업 준비.
17-freelancer-life,17,프리랜서 라이프,클라이언트·단가·계약·세금 등 프리랜서 생활.
17-interview-prep,17,면접 준비,단골 질문·자기소개·직무 면접 등. 12 교양 시사 면접과 분리.
17-job-change,17,이직,이직 타이밍·전략·오퍼 비교·퇴사 매너.
17-job-seeking,17,취업 준비,자기 분석·산업 탐색·채용 절차·신입 전략.
17-office-relationships,17,직장 인간관계,상사·동료 관계·갈등·사내 정치 거리두기.
17-part-time-job,17,아르바이트,알바 구하기·근로 권리·근로계약서·소득 신고.
17-remote-work,17,재택근무,재택 환경·루틴·협업 도구·고립감 관리.
17-resume-writing,17,자소서 작성,자소서 구조·지원 동기·경력기술서 등. 12 논술과 분리.
17-salary-negotiation,17,연봉·협상,시장 연봉·협상 타이밍·총보상·인상 요청.
17-self-development,17,직장인 자기계발,배움 계획·퇴근 후 공부·역량 강화. 12 공부법과 직장인 맥락 차별화.
17-side-job,17,부업·사이드잡,부업 찾기·겸업 규정·세금·현실 기대치.
17-worklife-tips,17,직장생활 팁,업무 메일·회의·우선순위·스트레스 관리.
18-board-games,18,보드게임,입문·파티·전략·협력 보드게임 및 모임.
18-console-games,18,콘솔 게임,콘솔 선택·명작·독점작·구독 서비스.
18-game-events,18,게임 행사·페스티벌,게임쇼·시연 부스·코스프레·개발자 강연.
18-game-guides,18,게임 공략,공략집·보스·빌드·파밍·도전과제.
18-game-news,18,게임 뉴스,출시 일정·패치·업계 흐름·할인 소식. 12 시사와 무관한 게임 업계.
18-gaming-gear,18,게이밍 기어,헤드셋·마우스·키보드·모니터 등 게이밍 장비.
18-gaming-terms,18,게임 입문 용어,장르·슬랭·능력치·메타 등 게임 용어 풀이.
18-indie-games,18,인디 게임,인디 명작·픽셀아트·스토리·번들.
18-mobile-games,18,모바일 게임,무과금·가챠·과금 조절·캐주얼/RPG.
18-pc-games,18,PC 게임,PC 게임 사양·최적화·모드·멀티. 18 콘솔/스팀과 분리.
18-retro-games,18,고전 게임,고전 명작·에뮬레이터·복각 콘솔. 합법 플레이 강조.
18-steam-platform,18,스팀·플랫폼 활용,스팀 세일·환불·라이브러리·창작마당·스팀덱.
02-deposit-interest-rate,02,예적금 정보,예금·적금 금리 비교·단복리·만기 관리·특판. (구 예적금 금리에서 개명)
