domain_label,l1_code,l1_name,ymyl,model_key,model_label,batch_size,focus_keyword,monthly_total,title_ko,search_intent,topic_angle,description
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,금시세,4941100,금시세 변동 전망과 투자 전략,info,tip,"금시세의 최근 변동 추이와 향후 전망, 투자 전략을 제시한다."
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,미국증시,4787800,미국 증시 현황과 향후 전망 분석,info,issue,"현재 미국 증시 현황과 향후 전망, 영향을 줄 요인을 분석한다."
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,달러환율,4566200,달러 환율 변동과 수출입 영향,info,issue,달러 환율 변동 추이와 이것이 수출입에 미치는 영향을 분석한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,코스피지수,4213100,코스피 지수 전망과 투자 전략,info,tip,"코스피 지수의 최근 변동 추이와 향후 전망, 투자 전략을 제시한다."
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,나스닥선물,3699300,나스닥 선물 투자 전략과 주의사항,howto,howto,나스닥 선물 투자에 필요한 전략과 주의사항을 안내한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,미국환율,3160300,미국 환율 정책과 글로벌 경제 영향,info,issue,미국의 환율 정책과 이것이 글로벌 경제에 미치는 영향을 분석한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,나스닥,2272000,나스닥 지수 전망과 투자 포인트,info,issue,"나스닥 지수의 최근 변동 추이와 향후 전망, 투자 포인트를 분석한다."
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,검색상위종목,2216300,현재 검색 상위 종목 분석과 투자 전략,info,review,현재 검색 상위 종목의 분석과 이를 통한 투자 전략을 제시한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,국제유가,2208800,국제유가 전망과 글로벌 경제 영향 분석,info,issue,국제유가 변동 추이와 글로벌 경제에 미치는 영향을 분석한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,코스닥,1760600,코스닥 시장 동향과 투자 전략 비교,compare,compare,코스닥 시장의 최근 동향과 투자 전략을 비교 분석한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,삼성전자주식,1412900,삼성전자 주식 투자 포인트와 전망 분석,info,issue,삼성전자 주식의 투자 포인트와 향후 전망을 분석한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,국제금시세,1370900,국제금시세 변동 추이와 투자 전략,info,tip,국제금시세의 변동 추이와 투자 전략을 소개한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,원달러환율,1349800,원달러환율 전망과 수출입 영향 분석,info,issue,원달러환율의 전망과 수출입 산업에 미치는 영향을 분석한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,주식시세,1293600,주식시세 확인과 투자 전략 가이드,howto,howto,주식시세 확인 방법과 효과적인 투자 전략을 안내한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,엔화,1207400,엔화 가치 변동과 투자 포인트 분석,info,issue,엔화 가치 변동 추이와 투자 포인트를 분석한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,주가지수,1150200,주가지수 이해와 투자 전략 비교,compare,compare,주가지수의 개념과 다양한 투자 전략을 비교한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,증시,1099600,증시 현황과 투자자 주의 사항,info,review,현재 증시 현황과 투자자가 주의할 사항을 리뷰한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,카카오주가,1083800,카카오 주가 전망과 투자 전략 분석,info,issue,카카오 주가 전망과 투자 전략을 분석한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,엔비디아주가,949700,엔비디아 주가 전망과 분석 포인트,info,issue,엔비디아 주가 흐름과 투자자가 알아야 할 분석 포인트를 정리한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,다우지수,862300,다우지수 현황과 시장 전망,info,review,현재 다우지수 현황과 향후 시장 전망을 분석한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,테슬라주가,854700,테슬라 주가 전망과 투자 전략,info,tip,테슬라 주가 흐름과 투자자가 참고할 전략을 제시한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,유럽증시,836000,유럽 증시 현황과 전망 분석,info,review,현재 유럽 증시 현황과 향후 전망을 분석한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,나스닥종합,800000,나스닥 종합지수 전망과 투자 포인트,info,issue,나스닥 종합지수 흐름과 투자자가 알아야 할 포인트를 정리한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,로컬크리에이터,990,로컬 크리에이터 비즈니스 모델 비교,compare,howto,로컬 크리에이터 비즈니스 모델을 비교하고 성공 전략을 모색한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,모바일카드,990,모바일 카드 종류와 사용 방법,howto,howto,모바일 카드의 종류와 사용 방법을 안내한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,미국주식거래방법,990,미국 주식 거래 방법과 유의사항,howto,howto,미국 주식 거래 방법과 투자자가 알아야 할 유의사항을 안내한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,미국주식전망,990,미국 주식 시장 전망과 투자 전략,info,review,현재 미국 주식 시장 전망과 투자자가 참고할 전략을 제시한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,보험사종류,990,한국 보험사 종류와 상품 비교,compare,compare,한국의 다양한 보험사 종류와 상품을 비교한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,스마트폰부업,990,스마트폰으로 할 수 있는 부업 종류와 주의사항,info,tip,스마트폰을 활용해 할 수 있는 다양한 부업과 성공을 위한 팁을 소개한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,신용보증재단대출,990,신용보증재단대출 자격 조건과 신청 방법,howto,howto,신용보증재단대출의 자격 조건과 신청 절차를 상세히 안내한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,알뜰폰KT,990,KT 알뜰폰 요금제 비교와 선택 가이드,compare,compare,"KT 알뜰폰의 다양한 요금제를 비교 분석하고, 최적의 선택 방법을 제시한다."
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,임대소득신고,990,임대소득 신고 방법과 절세 전략,howto,tip,임대소득 신고 절차와 절세 방법을 상세히 설명한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,정부대환대출,990,정부 지원 대환대출 상품과 신청 방법,info,issue,정부에서 지원하는 대환대출 상품의 종류와 신청 절차를 소개한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,주식잘하는법,990,주식 투자 잘하는 법과 기본 원칙,info,start,성공적인 주식 투자를 위한 기본 원칙과 전략을 제시한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,증권앱,990,인기 증권 앱 비교와 투자 활용법,compare,compare,다양한 증권 앱의 기능과 장단점을 비교 분석한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,퇴사후실업급여,990,퇴사 후 실업급여 신청 방법과 주의사항,howto,howto,퇴사 후 실업급여를 받기 위한 신청 절차와 주의사항을 안내한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,퇴직연금수익률,990,퇴직연금 수익률 높이는 방법과 전략,info,tip,퇴직연금의 수익률을 높일 수 있는 투자 전략과 팁을 제공한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,한국주식거래소,990,한국 주식 거래소 이용 방법과 투자 정보,info,issue,한국 주식 거래소의 기능과 투자자를 위한 정보를 소개한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,고령자계속고용장려금,980,고령자 계속 고용 장려금 지원 대상과 신청 방법,info,howto,고령자 계속 고용 장려금의 지원 대상과 신청 방법을 상세히 안내합니다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,근로내용확인신고,980,근로내용확인신고서 작성법과 유의사항,howto,howto,근로내용확인신고서의 작성 방법과 제출 시 유의사항을 설명합니다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,금융변호사,980,금융 분쟁 해결에 도움을 주는 금융변호사 역할,info,review,금융변호사의 역할과 금융 분쟁 해결을 위한 조언을 제공합니다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,메타버스관련주,980,메타버스 관련주 투자 전망과 분석,info,issue,메타버스 관련주의 투자 전망과 분석 포인트를 정리합니다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,저평가주식,980,저평가 주식 발굴을 위한 투자 전략과 주의점,info,tip,저평가 주식을 발굴하기 위한 투자 전략과 주의사항을 안내합니다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,고배당주식,970,고배당 주식 투자 전략과 배당 수익률 분석,info,compare,고배당 주식의 투자 전략과 배당 수익률을 비교 분석합니다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,뿌리기업,970,뿌리기업 지원 정책과 산업 전망 분석,info,issue,뿌리기업 지원 정책과 산업 전망을 분석합니다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,서울신축아파트,970,서울 신축 아파트 분양 정보와 시장 전망,info,local,서울 신축 아파트의 분양 정보와 시장 전망을 제공합니다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,연금저축이벤트,970,연금저축 이벤트 혜택과 가입 전 고려사항,info,review,연금저축 이벤트의 혜택과 가입 전 고려사항을 설명합니다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,연말정산세액공제,970,연말정산 세액공제 항목과 절세 팁,info,tip,연말정산 세액공제 항목과 절세 팁을 제공합니다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,국제유가,2208800,국제유가 전망과 분석 포인트: 향후 가격 동향은?,info,issue,국제유가 가격 동향과 향후 전망을 분석한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,코스닥,1760600,코스닥 시장 전망과 투자 전략: 지금은 어떤 시기?,info,issue,코스닥 시장 전망과 투자 전략을 분석한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,삼성전자주식,1412900,삼성전자 주식 전망과 투자 포인트: 향후 성장 가능성은?,info,issue,삼성전자 주식 가격 동향과 향후 성장 가능성을 분석한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,국제금시세,1370900,국제 금시세 전망과 분석 포인트: 가격 동향은?,info,issue,국제 금시세 가격 동향과 향후 전망을 분석한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,원달러환율,1349800,원달러 환율 전망과 분석 포인트: 향후 가격 동향은?,info,issue,원달러 환율 가격 동향과 향후 전망을 분석한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,주식시세,1293600,주식 시세 전망과 투자 전략: 지금은 어떤 시기?,info,issue,주식 시세 가격 동향과 향후 전망을 분석한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,엔화,1207400,엔화 환율 전망과 분석 포인트: 가격 동향은?,info,issue,엔화 환율 가격 동향과 향후 전망을 분석한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,주가지수,1150200,주가지수 전망과 투자 전략: 향후 가격 동향은?,info,issue,주가지수 가격 동향과 향후 전망을 분석한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,증시,1099600,증시 전망과 분석 포인트: 향후 가격 동향은?,info,issue,증시 가격 동향과 향후 전망을 분석한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,카카오주가,1083800,카카오 주가 전망과 투자 포인트: 향후 성장 가능성은?,info,issue,카카오 주가 가격 동향과 향후 성장 가능성을 분석한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,엔비디아주가,949700,엔비디아 주가 전망과 분석 포인트,info,issue,엔비디아 주가의 현재 상황과 미래 전망을 분석한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,다우지수,862300,다우지수 전망과 주요 분석 포인트,info,issue,다우지수의 현재 상황과 미래 전망을 분석한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,테슬라주가,854700,테슬라 주가 전망과 투자 포인트,info,issue,테슬라 주가의 현재 상황과 미래 전망을 분석한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,유럽증시,836000,유럽 증시 전망과 주요 분석 포인트,info,issue,유럽 증시의 현재 상황과 미래 전망을 분석한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,나스닥종합,800000,나스닥 종합 전망과 주요 분석 포인트,info,issue,나스닥 종합의 현재 상황과 미래 전망을 분석한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,로컬크리에이터,990,로컬 크리에이터에게 필요한 비즈니스 전략,howto,tip,로컬 크리에이터가 성공하기 위한 전략과 방법을 소개한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,모바일카드,990,모바일 카드 비교 및 추천 매수 포인트,compare,tip,모바일 카드의 특징과 장단점을 비교하고 추천 매수 포인트를 제공한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,미국주식거래방법,990,미국 주식 거래 방법 및 절차,howto,tip,미국 주식 거래의 방법과 절차를 설명한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,미국주식전망,990,미국 주식 전망과 주요 분석 포인트,info,issue,미국 주식의 현재 상황과 미래 전망을 분석한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,보험사종류,990,보험사 종류와 유형의 차이점,info,issue,보험사의 종류와 유형의 차이점을 설명한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,스마트폰부업,990,스마트폰 부업으로 월 990원 버는 방법과 전망,howto,tip,스마트폰 부업으로 월 990원 버는 방법을 소개하고 전망을 분석한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,신용보증재단대출,990,신용보증재단 대출 전망과 비교 분석,compare,issue,신용보증재단 대출의 전망과 비교 분석을 통해 투자자를 안내한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,알뜰폰KT,990,알뜰폰 KT 가격 비교와 전망,compare,tip,알뜰폰 KT 가격을 비교하고 전망을 분석한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,임대소득신고,990,임대소득 신고 방법과 전망,info,issue,임대소득 신고 방법과 관련된 전망을 분석한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,정부대환대출,990,정부 대환 대출 전망과 분석 포인트,info,issue,정부 대환 대출의 전망과 분석 포인트를 정리한다.
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,주식잘하는법,990,주식 잘하는 법과 전망,howto,tip,주식 잘하는 법을 소개하고 전망을 분석한다.
