l1_code,l1_name,rank,candidate_keyword,norm_stem,monthly_pc,monthly_mobile,monthly_total,comp_idx,depth,source_seed,is_new,note
02,금융·재테크,30,엔화,엔화,378800,828600,1207400,높음,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
02,금융·재테크,31,주가지수,주가지수,66500,1083700,1150200,높음,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
01,엔터·미디어,32,개봉예정영화,개봉예정영화,262800,873300,1136100,높음,1,01-drama|01-variety-show|01-celebrity|01-music|01-movie,Y,
01,엔터·미디어,33,영화순위,영화순위,164300,950300,1114600,중간,1,01-drama|01-variety-show|01-celebrity|01-music|01-movie,Y,
02,금융·재테크,34,증시,증시,84200,1015400,1099600,높음,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
04,패션,35,금값,금값,149500,945400,1094900,높음,1,04-guest-look|04-jewelry-watch|04-luxury-resell|04-maternity-wear,Y,
02,금융·재테크,36,카카오주가,카카오주가,92100,991700,1083800,중간,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
09,맛집·카페,37,근처맛집,근처맛집,21200,930400,951600,높음,1,09-seoul-food|09-cafe-recommend|09-busan-food|09-date-course|09-gyeonggi-food,Y,
02,금융·재테크,38,엔비디아주가,엔비디아주가,90400,859300,949700,중간,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
02,금융·재테크,39,다우지수,다우지수,22000,840300,862300,높음,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
02,금융·재테크,40,테슬라주가,테슬라주가,57300,797400,854700,높음,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
11,여행,41,항공권예매,항공권예매,139600,711200,850800,높음,1,11-passport-issuance|11-flight-reservation|11-accommodation-reservation|11-travel-expenses|11-singapore-trip,Y,
02,금융·재테크,42,유럽증시,유럽증시,10000,826000,836000,중간,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
11,여행,43,비행기표예약,비행기표예약,134500,688300,822800,높음,1,11-passport-issuance|11-flight-reservation|11-accommodation-reservation|11-travel-expenses|11-singapore-trip,Y,
02,금융·재테크,44,나스닥종합,나스닥종합,21200,778800,800000,중간,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
05,스포츠,45,로또당첨번호조회,로또당첨번호조회,5980,771800,777780,높음,1,05-world-cup|05-k-league|05-kbo-league|05-mlb-info|05-nba-info,Y,
02,금융·재테크,46,일본환율,일본환율,71500,696900,768400,중간,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
01,엔터·미디어,47,멜론,멜론,265100,494300,759400,높음,1,01-reality-show|01-k-movie|01-foreign-drama|01-celeb-youtube|01-music-show,Y,
02,금융·재테크,48,종합주가지수,종합주가지수,36700,714500,751200,높음,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
07,IT·테크,49,쳇GPT,쳇GPT,366200,375600,741800,중간,1,07-printer-review|07-nas-review|07-ai-utilization|07-chatgpt-tips|07-data-backup,Y,
02,금융·재테크,50,유로환율,유로환율,151600,575900,727500,중간,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
02,금융·재테크,51,국내증시,국내증시,40900,685600,726500,높음,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
04,패션,52,오늘금시세,오늘금시세,17700,684800,702500,높음,1,04-guest-look|04-jewelry-watch|04-luxury-resell|04-maternity-wear,Y,
02,금융·재테크,53,환율조회,환율조회,106600,556500,663100,높음,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
02,금융·재테크,54,주요증시,주요증시,15000,637700,652700,중간,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
07,IT·테크,55,리플시세,리플시세,38800,607600,646400,중간,1,07-digital-trend|07-it-news|07-iot|07-blockchain|07-software-review,Y,
02,금융·재테크,56,증권,증권,38700,579700,618400,높음,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
02,금융·재테크,57,중국환율,중국환율,95800,519800,615600,높음,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
02,금융·재테크,58,금한돈시세,금한돈시세,38800,562400,601200,높음,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
09,맛집·카페,59,샤브올데이,샤브올데이,30200,522800,553000,중간,1,09-seoul-food|09-cafe-recommend|09-busan-food|09-date-course|09-gyeonggi-food,Y,
03,건강·다이어트,60,젝시믹스,젝시믹스,82300,466000,548300,중간,1,03-health-information|03-lifestyle-habits|03-home-training|03-yoga-beginner|03-pilates,Y,
02,금융·재테크,61,삼천당제약주가,삼천당제약주가,26100,519500,545600,높음,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
02,금융·재테크,62,다우나스닥,다우나스닥,8920,527800,536720,낮음,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
09,맛집·카페,63,근처카페,근처카페,4580,530900,535480,높음,1,09-seoul-food|09-cafe-recommend|09-busan-food|09-date-course|09-gyeonggi-food,Y,
05,스포츠,64,KLPGA,KLPGA,57900,472000,529900,높음,1,05-golf-tournament|05-olympics|05-marathon|05-football-tactics|05-baseball-tactics,Y,
07,IT·테크,65,이더리움,이더리움,88100,418600,506700,중간,1,07-digital-trend|07-it-news|07-iot|07-blockchain|07-software-review,Y,
04,패션,66,오늘의금시세,오늘의금시세,15700,479100,494800,높음,1,04-guest-look|04-jewelry-watch|04-luxury-resell|04-maternity-wear,Y,
02,금융·재테크,67,뉴욕증시,뉴욕증시,16800,474000,490800,중간,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
02,금융·재테크,68,알테오젠주가,알테오젠주가,25900,461600,487500,중간,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
02,금융·재테크,69,SP500,SP500,59100,413400,472500,중간,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
02,금융·재테크,70,나스닥지수,나스닥지수,21900,449600,471500,높음,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
02,금융·재테크,71,종합소득세신고,종합소득세신고,175000,287100,462100,높음,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
02,금융·재테크,72,아시아증시,아시아증시,13700,444800,458500,높음,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
01,엔터·미디어,73,KT,KT,180400,256500,436900,높음,1,01-style|01-interview|01-broadcast|01-fandom|01-event,Y,
02,금융·재테크,74,코덱스200,코덱스200,63700,372000,435700,낮음,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
05,스포츠,75,네이버플레이스,네이버플레이스,119800,314500,434300,높음,1,05-sports-issue|05-soccer-player|05-sports-marketing|05-game-schedule|05-sports-health,Y,
07,IT·테크,76,이더리움시세,이더리움시세,31800,400300,432100,중간,1,07-digital-trend|07-it-news|07-iot|07-blockchain|07-software-review,Y,
05,스포츠,77,프리미어리그,프리미어리그,48700,377100,425800,중간,1,05-sports-news|05-soccer-analysis|05-baseball-info|05-international-sports|05-player-profile,Y,
03,건강·다이어트,78,스포츠,스포츠,24100,391100,415200,높음,1,03-diet-meal-plan|03-exercise-routine|03-supplement-guide|03-disease-prevention|03-sleep-health,Y,
05,스포츠,79,토트넘,토트넘,57800,355600,413400,중간,1,05-baseball-analysis|05-sports-event|05-overseas-soccer|05-epl-analysis|05-champions-league-info,Y,
02,금융·재테크,80,국민연금,국민연금,161200,247100,408300,낮음,1,02-etf-investment|02-dividend-stocks|02-tax-saving-methods|02-retirement-savings|02-irp-account,Y,
02,금융·재테크,81,나스닥100,나스닥100,40900,361000,401900,중간,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
05,스포츠,82,LPGA,LPGA,26400,374800,401200,중간,1,05-golf-tournament|05-olympics|05-marathon|05-football-tactics|05-baseball-tactics,Y,
02,금융·재테크,83,대출계산기,대출계산기,115300,276600,391900,높음,1,02-real-estate-subscription|02-lease-vs-rent|02-loan-interest-rate|02-credit-score|02-credit-card-benefits,Y,
04,패션,84,순금시세,순금시세,24000,366100,390100,중간,1,04-guest-look|04-jewelry-watch|04-luxury-resell|04-maternity-wear,Y,
02,금융·재테크,85,삼성주가,삼성주가,25700,358400,384100,높음,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
11,여행,86,연봉계산기,연봉계산기,123600,253300,376900,높음,1,11-travel-essentials|11-travel-itinerary|11-accommodation-recommendations|11-travel-tips|11-travel-diaries,Y,
01,엔터·미디어,87,현재상영영화,현재상영영화,84200,291700,375900,낮음,1,01-drama|01-variety-show|01-celebrity|01-music|01-movie,Y,
18,게임,88,피파온라인4,피파온라인4,95900,276800,372700,낮음,1,extra|extra|extra,Y,
02,금융·재테크,89,한화시스템주가,한화시스템주가,17300,351000,368300,높음,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
05,스포츠,90,대한민국축구,대한민국축구,46400,309300,355700,중간,1,05-sports-news|05-soccer-analysis|05-baseball-info|05-international-sports|05-player-profile,Y,
05,스포츠,91,프로야구일정,프로야구일정,22300,331800,354100,중간,1,05-sports-news|05-soccer-analysis|05-baseball-info|05-international-sports|05-player-profile,Y,
09,맛집·카페,92,식당,식당,17500,329800,347300,높음,1,09-seoul-food|09-cafe-recommend|09-busan-food|09-date-course|09-gyeonggi-food,Y,
02,금융·재테크,93,나스닥다우지수,나스닥다우지수,3830,332200,336030,높음,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
03,건강·다이어트,94,안과,안과,20400,314600,335000,높음,1,03-cholesterol-management|03-back-joint-health|03-eye-health|03-health-checkup|03-immunity-care,Y,
02,금융·재테크,95,코스피200,코스피200,37200,293900,331100,높음,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
02,금융·재테크,96,네이버주식,네이버주식,68700,253000,321700,중간,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
16,육아,97,영어사전,영어사전,95800,219000,314800,높음,1,16-daycare-kindergarten|16-discipline-habits|16-elementary-learning|16-kids-content|16-kids-english,Y,
02,금융·재테크,98,KODEX200,KODEX200,77000,235500,312500,낮음,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
05,스포츠,99,챔피언스리그,챔피언스리그,36100,275400,311500,높음,1,05-sports-news|05-soccer-analysis|05-baseball-info|05-international-sports|05-player-profile,Y,
02,금융·재테크,100,엘지씨엔에스주가,엘지씨엔에스주가,12400,297300,309700,중간,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
02,금융·재테크,101,나스닥선물지수,나스닥선물지수,32300,273100,305400,중간,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
02,금융·재테크,102,국제유가실시간,국제유가실시간,10600,289300,299900,높음,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
02,금융·재테크,103,퇴직금계산기,퇴직금계산기,88700,209200,297900,높음,1,02-etf-investment|02-dividend-stocks|02-tax-saving-methods|02-retirement-savings|02-irp-account,Y,
18,게임,104,돌림판,돌림판,41900,255000,296900,높음,1,18-mobile-games|18-pc-games|18-retro-games|18-steam-platform|extra,Y,
02,금융·재테크,105,HLB주가,HLB주가,14800,281400,296200,중간,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
09,맛집·카페,106,주변맛집,주변맛집,7700,288300,296000,높음,1,09-solo-food|09-daegu-food|09-brunch-cafe|09-daejeon-food|09-night-view-food,Y,
01,엔터·미디어,107,토일드라마,토일드라마,14300,275500,289800,낮음,1,01-k-pop|01-ott-recommend|01-webtoon-recommend|01-music-chart|01-concert-info,Y,
18,게임,108,아일릿,아일릿,45100,242000,287100,중간,1,07-game-review|05-esports|18-board-games|18-console-games|18-game-events,Y,
18,게임,109,룰렛돌리기,룰렛돌리기,26300,260500,286800,높음,1,18-mobile-games|18-pc-games|18-retro-games|18-steam-platform|extra,Y,
02,금융·재테크,110,ISA계좌,ISA계좌,51400,232900,284300,중간,1,02-etf-investment|02-dividend-stocks|02-tax-saving-methods|02-retirement-savings|02-irp-account,Y,
05,스포츠,111,NBA,NBA,48300,235400,283700,높음,1,05-sports-news|05-soccer-analysis|05-baseball-info|05-international-sports|05-player-profile,Y,
07,IT·테크,112,코인판,코인판,34000,244900,278900,중간,1,07-digital-trend|07-it-news|07-iot|07-blockchain|07-software-review,Y,
02,금융·재테크,113,미국주식,미국주식,14800,261700,276500,중간,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
05,스포츠,114,복권,복권,20000,253600,273600,중간,1,05-world-cup|05-k-league|05-kbo-league|05-mlb-info|05-nba-info,Y,
06,자동차,115,중고차,중고차,68300,202200,270500,높음,1,06-new-car-review|06-used-car-buying|06-ev-guide|06-car-maintenance|06-car-insurance,Y,
02,금융·재테크,116,ETF,ETF,76200,193500,269700,높음,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
02,금융·재테크,117,레인보우로보틱스주가,레인보우로보틱스주가,16800,252600,269400,높음,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
02,금융·재테크,118,KOSPI,KOSPI,226500,40800,267300,높음,1,02-etf-investment|02-dividend-stocks|02-tax-saving-methods|02-retirement-savings|02-irp-account,Y,
05,스포츠,119,야구경기일정,야구경기일정,23000,244000,267000,낮음,1,05-sports-news|05-soccer-analysis|05-baseball-info|05-international-sports|05-player-profile,Y,
07,IT·테크,120,빗썸비트코인,빗썸비트코인,42700,221000,263700,낮음,1,07-digital-trend|07-it-news|07-iot|07-blockchain|07-software-review,Y,
02,금융·재테크,121,해외증시,해외증시,4050,259500,263550,중간,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
11,여행,122,항공권예약,항공권예약,71800,189500,261300,높음,1,11-passport-issuance|11-flight-reservation|11-accommodation-reservation|11-travel-expenses|11-singapore-trip,Y,
01,엔터·미디어,123,헬스장,헬스장,20600,231600,252200,높음,1,01-celeb-diet|01-celeb-wedding|01-mc,Y,
04,패션,124,스투시,스투시,27700,223300,251000,높음,1,04-date-night-outfit|04-casual-outfit|04-street-fashion|04-vintage-fashion|04-plus-size-fashion,Y,
18,게임,125,로블록스,로블록스,142600,106000,248600,중간,1,extra|extra|extra|extra|extra,Y,
02,금융·재테크,126,WTI,WTI,70700,177100,247800,높음,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
02,금융·재테크,127,미증시,미증시,8860,233100,241960,중간,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
01,엔터·미디어,128,상영중인영화,상영중인영화,37100,204000,241100,중간,1,01-drama|01-variety-show|01-celebrity|01-music|01-movie,Y,
02,금융·재테크,129,SOXL,SOXL,65700,174500,240200,낮음,1,02-etf-investment|02-dividend-stocks|02-tax-saving-methods|02-retirement-savings|02-irp-account,Y,
02,금융·재테크,130,인텔주가,인텔주가,26700,211900,238600,중간,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
02,금융·재테크,131,포스코퓨처엠주가,포스코퓨처엠주가,7630,229400,237030,높음,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
02,금융·재테크,132,국내주식,국내주식,16000,217600,233600,중간,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
06,자동차,133,LS,LS,51300,182200,233500,높음,1,06-suv-guide|06-lightweight-car-guide|06-import-car-guide|06-hybrid-car|06-beginner-driving,Y,
16,육아,134,국어사전,국어사전,82300,147700,230000,중간,1,16-daycare-kindergarten|16-discipline-habits|16-elementary-learning|16-kids-content|16-kids-english,Y,
07,IT·테크,135,도지코인,도지코인,30700,197400,228100,중간,1,07-digital-trend|07-it-news|07-iot|07-blockchain|07-software-review,Y,
05,스포츠,136,한국축구,한국축구,46100,181400,227500,중간,1,05-sports-news|05-soccer-analysis|05-baseball-info|05-international-sports|05-player-profile,Y,
01,엔터·미디어,137,카카오웹툰,카카오웹툰,28800,195200,224000,중간,1,01-k-pop|01-ott-recommend|01-webtoon-recommend|01-music-chart|01-concert-info,Y,
09,맛집·카페,138,곡성장미축제,곡성장미축제,15000,202000,217000,높음,1,09-incheon-food|09-handmade-coffee|09-gwangju-food|09-partyroom-cafe|09-gangwon-food,Y,
02,금융·재테크,139,네이처셀주가,네이처셀주가,10400,201900,212300,중간,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
02,금융·재테크,140,TIGER미국SP500,TIGER미국SP500,69000,140300,209300,중간,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
02,금융·재테크,141,청년도약계좌,청년도약계좌,42200,167000,209200,낮음,1,02-inheritance-donation|02-unemployment-benefits|02-youth-jump-account|02-gov-support-money|02-small-business-support,Y,
05,스포츠,142,스포츠토토,스포츠토토,41900,166400,208300,중간,1,05-sports-news|05-soccer-analysis|05-baseball-info|05-international-sports|05-player-profile,Y,
05,스포츠,143,챔스,챔스,33600,174600,208200,중간,1,05-baseball-analysis|05-sports-event|05-overseas-soccer|05-epl-analysis|05-champions-league-info,Y,
02,금융·재테크,144,위하고,위하고,190900,13800,204700,중간,1,02-startup-funding|02-freelancer-tax|02-year-end-tax-adjustment|02-insurance-info|02-pension-system,Y,
06,자동차,145,제네시스G80,제네시스G80,25700,178800,204500,높음,1,06-new-car-review|06-used-car-buying|06-ev-guide|06-car-maintenance|06-car-insurance,Y,
02,금융·재테크,146,종합소득세,종합소득세,61900,141000,202900,높음,1,02-startup-funding|02-freelancer-tax|02-year-end-tax-adjustment|02-insurance-info|02-pension-system,Y,
03,건강·다이어트,147,초복,초복,28600,172200,200800,높음,1,03-weight-management|03-fitness|03-healthy-diet|03-post-workout-recovery|03-mental-wellness,Y,
02,금융·재테크,148,오늘의금값,오늘의금값,8060,187600,195660,높음,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
02,금융·재테크,149,오늘코스피지수,오늘코스피지수,2910,190200,193110,높음,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
05,스포츠,150,프리미어리그순위,프리미어리그순위,32500,159600,192100,낮음,1,05-sports-news|05-soccer-analysis|05-baseball-info|05-international-sports|05-player-profile,Y,
02,금융·재테크,151,에스피지주가,에스피지주가,8370,183400,191770,중간,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
04,패션,152,유니클로세일,유니클로세일,15900,175400,191300,높음,1,04-brand-reviews|04-fashion-news|04-minimal-fashion|04-sustainable-fashion|04-spring-outfit,Y,
03,건강·다이어트,153,닭가슴살,닭가슴살,37700,148800,186500,높음,1,03-diet-meal-plan|03-exercise-routine|03-supplement-guide|03-disease-prevention|03-sleep-health,Y,
17,커리어,154,이자계산기,이자계산기,41500,142500,184000,높음,1,17-job-seeking|17-office-relationships|17-part-time-job|17-remote-work|17-resume-writing,Y,
02,금융·재테크,155,달러인덱스,달러인덱스,35600,146700,182300,낮음,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
01,엔터·미디어,156,수영,수영,31500,150200,181700,높음,1,01-k-pop|01-ott-recommend|01-webtoon-recommend|01-music-chart|01-concert-info,Y,
02,금융·재테크,157,소상공인정책자금,소상공인정책자금,71200,109500,180700,높음,1,02-etf-investment|02-dividend-stocks|02-tax-saving-methods|02-retirement-savings|02-irp-account,Y,
02,금융·재테크,158,오늘주식시세,오늘주식시세,1680,179000,180680,높음,1,02-etf-investment|02-dividend-stocks|02-tax-saving-methods|02-retirement-savings|02-irp-account,Y,
05,스포츠,159,미즈노,미즈노,28800,151300,180100,높음,1,05-korea-baseball|05-badminton|05-golf-lesson-gear|05-running-start|05-swimming,Y,
11,여행,160,비행기표,비행기표,41600,131000,172600,높음,1,11-passport-issuance|11-flight-reservation|11-accommodation-reservation|11-travel-expenses|11-singapore-trip,Y,
02,금융·재테크,161,구글주가,구글주가,19600,152400,172000,중간,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
18,게임,162,서든어택,서든어택,89800,81000,170800,낮음,1,extra|extra|extra,Y,
02,금융·재테크,163,18K금시세,18K금시세,9200,161400,170600,높음,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
11,여행,164,오키나와,오키나와,31900,135200,167100,높음,1,11-spain-trip|11-italy-trip|11-france-trip|11-uk-trip|11-winter-overseas-trip,Y,
05,스포츠,165,맨유,맨유,26000,140300,166300,중간,1,05-baseball-analysis|05-sports-event|05-overseas-soccer|05-epl-analysis|05-champions-league-info,Y,
04,패션,166,나이키운동화,나이키운동화,16200,149100,165300,높음,1,04-womens-fashion|04-mens-fashion|04-kids-fashion|04-handbags|04-shoes,Y,
02,금융·재테크,167,다우선물,다우선물,13800,151200,165000,중간,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
05,스포츠,168,나혼자만레벨업,나혼자만레벨업,18700,145000,163700,높음,1,05-baseball-analysis|05-sports-event|05-overseas-soccer|05-epl-analysis|05-champions-league-info,Y,
07,IT·테크,169,내일배움카드,내일배움카드,54400,107900,162300,높음,1,07-digital-trend|07-it-news|07-iot|07-blockchain|07-software-review,Y,
