l2_id,l1_code,l2_slug,name_ko,sort_order
09-subscriptions,09,subscriptions,구독 정리,5
09-emergency-fund,09,emergency-fund,비상금,6
09-household-cost,09,household-cost,생활비·고정비,7
09-money-mindset,09,money-mindset,돈 마인드,8
10-stocks-basics,10,stocks-basics,주식 기초,1
10-etf-dividend,10,etf-dividend,ETF·배당,2
10-portfolio,10,portfolio,포트폴리오,3
10-us-market,10,us-market,미국 주식,4
10-analysis,10,analysis,종목·재무 분석,5
10-trading-tips,10,trading-tips,매매·타이밍,6
10-crypto-stock,10,crypto-stock,가상자산 주식,7
10-beginner-guide,10,beginner-guide,초보 가이드,8
11-jeonse-wolse,11,jeonse-wolse,전월세,1
11-subscription-lottery,11,subscription-lottery,청약,2
11-apartment,11,apartment,아파트·매매,3
11-auction,11,auction,경매·공매,4
11-commercial,11,commercial,상가·사무실,5
11-interior-cost,11,interior-cost,인테리어 비용,6
11-region-guide,11,region-guide,지역별 시세,7
11-first-home,11,first-home,내집마련,8
12-credit-score,12,credit-score,신용점수,1
12-cards-benefits,12,cards-benefits,카드 혜택,2
12-loans-types,12,loans-types,대출 종류,3
12-refinance,12,refinance,대환·갈아타기,4
12-student-loan,12,student-loan,학자금·청년,5
12-mortgage,12,mortgage,주택담보,6
12-overdue,12,overdue,연체·채무,7
12-interest-tips,12,interest-tips,금리·상환,8
13-health-insurance,13,health-insurance,실손·건강,1
13-car-insurance,13,car-insurance,자동차,2
13-life-insurance,13,life-insurance,생명·종신,3
13-cancer-care,13,cancer-care,암·간병,4
13-travel-insurance,13,travel-insurance,여행,5
13-pension,13,pension,연금·노후,6
13-claims,13,claims,보험금 청구,7
13-comparison,13,comparison,보험 비교,8
14-year-end-tax,14,year-end-tax,연말정산,1
14-deductions,14,deductions,공제·환급,2
14-youth-support,14,youth-support,청년·정부지원,3
14-freelance-tax,14,freelance-tax,프리랜서 세금,4
14-property-tax,14,property-tax,재산·취득세,5
14-vat-business,14,vat-business,부가세·사업자,6
14-filing-guide,14,filing-guide,신고 가이드,7
14-benefits-finder,14,benefits-finder,지원금 찾기,8
15-job-search,15,job-search,취업·이직,1
15-resume-interview,15,resume-interview,이력서·면접,2
15-salary-negotiation,15,salary-negotiation,연봉·협상,3
15-workplace-culture,15,workplace-culture,회사 문화,4
15-resignation,15,resignation,퇴사·퇴직,5
15-remote-hybrid,15,remote-hybrid,재택·하이브리드,6
15-career-change,15,career-change,커리어 전환,7
15-overtime-burnout,15,overtime-burnout,야근·번아웃,8
16-startup-basics,16,startup-basics,창업 기초,1
16-smartstore,16,smartstore,스마트스토어,2
16-freelance-platform,16,freelance-platform,프리랜스 플랫폼,3
16-coupang-blog,16,coupang-blog,쿠팡·블로그 수익,4
16-youtube-creator,16,youtube-creator,유튜브·크리에이터,5
16-business-registration,16,business-registration,사업자·세무,6
16-side-hustle-ideas,16,side-hustle-ideas,부업 아이디어,7
16-one-person-shop,16,one-person-shop,1인 사업,8
17-oneroom-style,17,oneroom-style,원룸 인테리어,1
17-living-room,17,living-room,거실,2
17-bedroom,17,bedroom,침실,3
17-kitchen-bath,17,kitchen-bath,주방·욕실,4
17-lighting,17,lighting,조명,5
17-floor-wall,17,floor-wall,바닥·벽,6
17-self-interior,17,self-interior,셀프 인테리어,7
17-style-trends,17,style-trends,북유럽·모던 등,8
18-tableware,18,tableware,식기·테이블,1
18-bedding,18,bedding,침구·패브릭,2
18-plants,18,plants,식물·화분,3
18-art-frame,18,art-frame,그림·액자,4
18-season-decor,18,season-decor,시즌 소품,5
18-coupang-finds,18,coupang-finds,쿠팡·다이소템,6
18-housewarming-gift,18,housewarming-gift,집들이 선물,7
18-scent-candle,18,scent-candle,향·캔들,8
19-kitchen-appliance,19,kitchen-appliance,주방가전,1
19-cleaning-appliance,19,cleaning-appliance,청소가전,2
19-air-season,19,air-season,공기·계절가전,3
19-tv-audio,19,tv-audio,TV·음향,4
19-small-gadgets,19,small-gadgets,생활 소형가전,5
19-comparison,19,comparison,가전 비교,6
19-energy-saving,19,energy-saving,전기·에너지,7
19-purchase-guide,19,purchase-guide,구매 가이드,8
20-daily-cleaning,20,daily-cleaning,일상 청소,1
20-deep-cleaning,20,deep-cleaning,대청소,2
20-kitchen-grease,20,kitchen-grease,주방 기름때,3
20-bathroom-mold,20,bathroom-mold,욕실·곰팡이,4
20-laundry,20,laundry,세탁·빨래,5
20-detergent-tools,20,detergent-tools,세제·도구,6
20-organize-routine,20,organize-routine,청소 루틴,7
20-tips-hacks,20,tips-hacks,살림 꿀팁,8
21-moving-checklist,21,moving-checklist,이사 체크리스트,1
21-packing,21,packing,포장·업체,2
21-move-in,21,move-in,입주·청소,3
21-repair-leak,21,repair-leak,누수·하자,4
21-paint-wallpaper,21,paint-wallpaper,도배·페인트,5
21-appliance-install,21,appliance-install,가전 설치,6
21-contract-tips,21,contract-tips,계약·견적,7
21-diy-repair,21,diy-repair,간단 수리 DIY,8
22-oneroom-tips,22,oneroom-tips,원룸 꿀팁,1
22-rent-bills,22,rent-bills,월세·관리비,2
22-cooking-small,22,cooking-small,자취 요리,3
22-security-safety,22,security-safety,안전·보안,4
22-neighbor-etiquette,22,neighbor-etiquette,이웃·층간,5
22-furniture-small,22,furniture-small,좁은 집 가구,6
22-routine,22,routine,자취 루틴,7
22-cost-saving,22,cost-saving,자취 절약,8
23-korean-home,23,korean-home,한식·집밥,1
23-airfryer,23,airfryer,에어프라이어,2
23-meal-prep,23,meal-prep,밀프렙·도시락,3
23-baking,23,baking,베이킹,4
23-dessert-home,23,dessert-home,홈디저트,5
23-side-dish,23,side-dish,반찬,6
23-beginner-cook,23,beginner-cook,요리 초보,7
23-ingredients,23,ingredients,재료·양념,8
24-korean-food,24,korean-food,한식,1
24-western,24,western,양식·파스타,2
24-japanese,24,japanese,일식·스시,3
24-chinese,24,chinese,중식,4
24-meat-bbq,24,meat-bbq,고기·BBQ,5
24-solo-dining,24,solo-dining,혼밥·혼술,6
24-date-restaurant,24,date-restaurant,데이트 맛집,7
24-local-famous,24,local-famous,지역 맛집,8
25-cafe-review,25,cafe-review,카페 후기,1
25-bakery,25,bakery,베이커리·빵,2
25-dessert-cafe,25,dessert-cafe,디저트 전문,3
25-rooftop-view,25,rooftop-view,루프탑·뷰,4
25-work-cafe,25,work-cafe,작업·노트북 카페,5
25-franchise,25,franchise,프랜차이즈 커피,6
25-home-cafe-recipe,25,home-cafe-recipe,홈카페 레시피,7
25-tea-noncoffee,25,tea-noncoffee,차·논커피,8
26-delivery-apps,26,delivery-apps,배달앱·메뉴,1
26-convenience-new,26,convenience-new,편의점 신상,2
26-frozen-meal,26,frozen-meal,간편식·냉동,3
26-late-night,26,late-night,야식,4
26-office-lunch,26,office-lunch,직장인 점심,5
26-ramen-instant,26,ramen-instant,라면·인스턴트,6
26-healthy-convenience,26,healthy-convenience,건강 간편식,7
26-review-ranking,26,review-ranking,메뉴 랭킹,8
27-keto-lowcarb,27,keto-lowcarb,저탄고지,1
27-high-protein,27,high-protein,고단백,2
27-intermittent,27,intermittent,간헐적 단식,3
27-calorie-meal,27,calorie-meal,칼로리·식단표,4
27-salad-bowl,27,salad-bowl,샐러드·볼,5
27-diet-bento,27,diet-bento,다이어트 도시락,6
27-eating-out-diet,27,eating-out-diet,외식 다이어트,7
27-meal-plan-week,27,meal-plan-week,주간 식단,8
28-soju-beer,28,soju-beer,소주·맥주,1
28-wine-basics,28,wine-basics,와인 입문,2
28-whisky,28,whisky,위스키,3
28-cocktail-home,28,cocktail-home,홈칵테일,4
28-pairing,28,pairing,페어링,5
28-sake,28,sake,사케·일본주,6
28-hangover,28,hangover,숙취·건강,7
28-bar-review,28,bar-review,바·펍,8
29-daily-look,29,daily-look,데일리룩,1
29-office-look,29,office-look,오피스룩,2
29-seasonal,29,seasonal,시즌 코디,3
29-mens-fashion,29,mens-fashion,남성 패션,4
29-plus-size,29,plus-size,빅사이즈,5
29-budget-brand,29,budget-brand,가성비 브랜드,6
29-luxury,29,luxury,럭셔리·하이엔드,7
29-capsule-wardrobe,29,capsule-wardrobe,캡슐 옷장,8
30-base-makeup,30,base-makeup,베이스·파데,1
30-lip,30,lip,립,2
30-eye-makeup,30,eye-makeup,아이·섀도,3
30-cushion-foundation,30,cushion-foundation,쿠션·파운데이션,4
30-beginner-makeup,30,beginner-makeup,메이크업 초보,5
30-tools,30,tools,브러시·퍼프,6
30-tone-season,30,tone-season,톤·퍼스널컬러,7
30-product-review,30,product-review,색조 리뷰,8
31-routine-am-pm,31,routine-am-pm,스킨케어 루틴,1
31-dry-skin,31,dry-skin,건성,2
31-oily-acne,31,oily-acne,지성·여드름,3
31-sensitive,31,sensitive,민감성,4
31-anti-aging,31,anti-aging,안티에이징,5
31-ingredients,31,ingredients,성분·레티놀,6
31-sunscreen,31,sunscreen,선크림,7
31-mask-ampoule,31,mask-ampoule,마스크·앰플,8
32-hair-color,32,hair-color,염색,1
32-perm-style,32,perm-style,펌·스타일,2
32-hair-care,32,hair-care,탈모·케어,3
32-nail-art,32,nail-art,네일,4
32-salon-review,32,salon-review,미용실 후기,5
32-mens-hair,32,mens-hair,남성 헤어,6
32-home-care,32,home-care,홈 헤어케어,7
32-trend-style,32,trend-style,트렌드 헤어,8
33-perfume,33,perfume,향수,1
33-mens-grooming,33,mens-grooming,남성 그루밍,2
33-shaving-beard,33,shaving-beard,쉐이빙·수염,3
33-skincare-men,33,skincare-men,남성 스킨,4
33-body-care,33,body-care,바디케어,5
33-deodorant,33,deodorant,데오·체취,6
33-gift-set,33,gift-set,선물 세트,7
33-niche-scent,33,niche-scent,니치 향수,8
34-laser-skin,34,laser-skin,레이저,1
34-botox-filler,34,botox-filler,보톡스·필러,2
34-acne-treatment,34,acne-treatment,여드름 치료,3
34-clinic-choice,34,clinic-choice,병원 선택,4
34-post-care,34,post-care,시술 후 관리,5
34-price-guide,34,price-guide,시술 비용,6
34-skincare-after,34,skincare-after,시술 후 홈케어,7
34-side-effects,34,side-effects,부작용·주의,8
35-diet-diary,35,diet-diary,다이어트 일기,1
35-plateau,35,plateau,정체기,2
35-workout-diet,35,workout-diet,운동+식단,3
35-body-fat,35,body-fat,체지방·인바디,4
35-cheat-meal,35,cheat-meal,치팅·요요,5
35-extreme-warning,35,extreme-warning,극단 다이어트 주의,6
35-before-after,35,before-after,전후,7
35-goal-setting,35,goal-setting,목표 체중,8
36-gym-routine,36,gym-routine,헬스 루틴,1
36-home-workout,36,home-workout,홈트,2
36-equipment,36,equipment,덤벨·런닝머신,3
36-muscle-split,36,muscle-split,부위별 운동,4
36-beginner-gym,36,beginner-gym,헬스 초보,5
36-protein-workout,36,protein-workout,단백질·보충,6
36-form-tips,36,form-tips,자세·부상 예방,7
36-body-recomposition,36,body-recomposition,체형 교정,8
37-yoga-beginner,37,yoga-beginner,요가 초보,1
37-pilates,37,pilates,필라테스,2
37-stretching,37,stretching,스트레칭,3
37-posture,37,posture,자세·거북목,4
37-flexibility,37,flexibility,유연성,5
37-home-mat,37,home-mat,홈 요가,6
37-class-review,37,class-review,수업·스튜디오,7
37-recovery,37,recovery,회복·휴식,8
38-running,38,running,러닝·마라톤,1
38-hiking,38,hiking,등산,2
38-cycling,38,cycling,자전거,3
38-camping-light,38,camping-light,가벼운 아웃도어,4
38-gear-shoes,38,gear-shoes,장비·신발,5
38-course-trail,38,course-trail,코스·트레일,6
38-beginner-outdoor,38,beginner-outdoor,입문,7
38-safety,38,safety,안전·준비물,8
39-cold-fever,39,cold-fever,감기·열,1
39-chronic,39,chronic,만성질환,2
39-digestive,39,digestive,소화·위장,3
39-pain,39,pain,통증,4
39-checkup,39,checkup,검진,5
39-hospital-guide,39,hospital-guide,병원·진료 가이드,6
39-symptom-search,39,symptom-search,증상 이해,7
39-prevention,39,prevention,예방·생활습관,8
40-vitamins,40,vitamins,비타민,1
40-omega-probiotics,40,omega-probiotics,오메가·유산균,2
40-protein-powder,40,protein-powder,단백질 보충제,3
40-joint-eye,40,joint-eye,관절·눈 건강,4
40-comparison,40,comparison,영양제 비교,5
40-timing-dose,40,timing-dose,복용법·시간,6
40-side-interaction,40,side-interaction,부작용·상호작용,7
40-fake-vs-real,40,fake-vs-real,정품·선택,8
41-anxiety,41,anxiety,불안,1
41-depression-mood,41,depression-mood,우울·기분,2
41-burnout,41,burnout,번아웃,3
41-sleep-stress,41,sleep-stress,수면·스트레스,4
41-counseling,41,counseling,상담·치료,5
41-meditation-app,41,meditation-app,명상·앱,6
41-work-life-balance,41,work-life-balance,워라밸,7
41-self-care,41,self-care,셀프케어,8
42-pregnancy-week,42,pregnancy-week,주차별 임신,1
42-birth-prep,42,birth-prep,출산 준비,2
42-postpartum,42,postpartum,산후,3
42-taegyo,42,taegyo,태교,4
42-hospital-birth,42,hospital-birth,병원·분만,5
42-baby-items-prenatal,42,baby-items-prenatal,출산용품,6
42-nutrition-pregnant,42,nutrition-pregnant,임신 영양,7
42-dad-partner,42,dad-partner,예비 아빠·파트너,8
43-newborn,43,newborn,신생아·0세,1
43-infant-toddler,43,infant-toddler,영·유아,2
43-baby-products,43,baby-products,육아템,3
43-baby-food,43,baby-food,이유식,4
43-sleep-routine,43,sleep-routine,수면·놀이,5
43-daycare,43,daycare,어린이집·유치원,6
43-discipline,43,discipline,훈육·발달,7
43-twin-multiple,43,twin-multiple,쌍둥이·다태아,8
44-elementary,44,elementary,초등,1
44-middle-high,44,middle-high,중·고등,2
44-suneung,44,suneung,수능·입시,3
44-academy-hagwon,44,academy-hagwon,학원,4
44-study-method,44,study-method,공부법,5
44-gifted-special,44,gifted-special,영재·특목,6
44-homeschool,44,homeschool,홈스쿨·대안,7
44-parent-role,44,parent-role,부모 교육,8
45-parents-gift,45,parents-gift,부모님 선물,1
45-filial-trip,45,filial-trip,효도 여행,2
45-aging-care,45,aging-care,노후·요양,3
45-generation-gap,45,generation-gap,세대 차이,4
45-grandparenting,45,grandparenting,조부모 역할,5
45-family-event,45,family-event,가족 행사,6
45-communication-family,45,communication-family,가족 대화,7
45-inheritance-basic,45,inheritance-basic,상속 기초,8
46-dog,46,dog,강아지,1
46-cat,46,cat,고양이,2
46-pet-food,46,pet-food,사료·간식,3
46-pet-hospital,46,pet-hospital,동물병원,4
46-training,46,training,훈련·행동,5
46-grooming-pet,46,grooming-pet,미용·목욕,6
46-adoption,46,adoption,입양,7
46-exotic-small,46,exotic-small,소동물,8
47-seoul-capital,47,seoul-capital,수도권,1
47-busan-gyeongnam,47,busan-gyeongnam,부산·경남,2
47-jeju,47,jeju,제주,3
47-gangwon,47,gangwon,강원,4
47-jeolla,47,jeolla,전라,5
47-chungcheong,47,chungcheong,충청,6
47-gyeongsang,47,gyeongsang,경상,7
47-day-trip,47,day-trip,당일치기,8
48-japan,48,japan,일본,1
48-southeast-asia,48,southeast-asia,동남아,2
48-europe,48,europe,유럽,3
48-usa,48,usa,미국,4
48-china-taiwan,48,china-taiwan,중국·대만,5
48-australia,48,australia,호주,6
48-visa-passport,48,visa-passport,비자·여권,7
48-itinerary-budget,48,itinerary-budget,일정·예산,8
49-hotel-review,49,hotel-review,호텔 후기,1
49-pension-stay,49,pension-stay,펜션,2
49-airbnb,49,airbnb,에어비앤비,3
49-pool-spa,49,pool-spa,풀·스파,4
49-family-room,49,family-room,가족룸,5
49-budget-stay,49,budget-stay,가성비 숙소,6
49-booking-tips,49,booking-tips,예약 팁,7
49-luxury-resort,49,luxury-resort,리조트,8
50-camping-gear,50,camping-gear,캠핑 장비,1
50-campsite,50,campsite,캠핑장,2
50-car-camping,50,car-camping,차박,3
50-glamping,50,glamping,글램핑,4
50-backpacking,50,backpacking,백패킹,5
50-fire-cooking,50,fire-cooking,불멍·캠핑 요리,6
50-beginner-camping,50,beginner-camping,캠핑 입문,7
50-season-weather,50,season-weather,계절·날씨,8
51-theme-park,51,theme-park,놀이공원,1
51-exhibition,51,exhibition,전시·박물관,2
51-festival,51,festival,축제,3
51-date-course,51,date-course,데이트 코스,4
51-photo-spot,51,photo-spot,포토존,5
51-indoor-date,51,indoor-date,실내 데이트,6
51-kids-outing,51,kids-outing,아이와 나들이,7
51-night-view,51,night-view,야경,8
52-camera-gear,52,camera-gear,카메라·렌즈,1
52-smartphone-photo,52,smartphone-photo,스마트폰 촬영,2
52-editing-app,52,editing-app,편집·앱,3
52-vlog-youtube,52,vlog-youtube,브이로그,4
52-preset-filter,52,preset-filter,프리셋·필터,5
52-composition,52,composition,구도·색감,6
52-lighting-shoot,52,lighting-shoot,조명·촬영,7
52-gear-review,52,gear-review,장비 리뷰,8
53-drawing,53,drawing,드로잉,1
53-watercolor,53,watercolor,수채·페인트,2
53-knit-craft,53,knit-craft,뜨개·공예,3
53-leather-wood,53,leather-wood,가죽·목공,4
53-upcycle,53,upcycle,업사이클,5
53-handmade-gift,53,handmade-gift,핸드메이드,6
53-calligraphy,53,calligraphy,캘리·글씨,7
53-resin-clay,53,resin-clay,레진·클레이,8
54-playlist,54,playlist,플레이리스트,1
54-concert-live,54,concert-live,콘서트,2
54-instrument-learn,54,instrument-learn,악기 배우기,3
54-kpop,54,kpop,K-POP,4
54-indie-music,54,indie-music,인디,5
54-music-app,54,music-app,음원·앱,6
54-singing-karaoke,54,singing-karaoke,노래·노래방,7
54-album-review,54,album-review,앨범 리뷰,8
55-book-review,55,book-review,도서 리뷰,1
55-novel-fiction,55,novel-fiction,소설,2
55-self-help-book,55,self-help-book,자기계발서,3
55-web-novel,55,web-novel,웹소설,4
55-reading-habit,55,reading-habit,독서 습관,5
55-ebook-audio,55,ebook-audio,전자책·오디오,6
55-book-club,55,book-club,독서모임,7
55-recommend-list,55,recommend-list,추천 리스트,8
56-netflix-ott,56,netflix-ott,넷플릭스·OTT,1
56-drama-review,56,drama-review,드라마 리뷰,2
56-movie-review,56,movie-review,영화 리뷰,3
56-genre-pick,56,genre-pick,장르별 추천,4
56-ending-explained,56,ending-explained,결말·해설,5
56-actor-actress,56,actor-actress,배우,6
56-preview-new,56,preview-new,신작·예고,7
56-watch-order,56,watch-order,정주행 순서,8
57-idol,57,idol,아이돌,1
57-comeback-stage,57,comeback-stage,컴백·무대,2
57-concert-fan,57,concert-fan,콘서트·팬,3
57-goods-fandom,57,goods-fandom,굿즈·팬덤,4
57-variety-star,57,variety-star,예능·셀럽,5
57-dating-news,57,dating-news,연예 이슈,6
57-chart-music-show,57,chart-music-show,차트·음방,7
57-debut-rookie,57,debut-rookie,데뷔·루키,8
58-webtoon,58,webtoon,웹툰,1
58-manga,58,manga,만화,2
58-anime,58,anime,애니,3
58-recommend-series,58,recommend-series,작품 추천,4
58-character-goods,58,character-goods,캐릭터·굿즈,5
58-cosplay,58,cosplay,코스프레,6
58-platform-app,58,platform-app,플랫폼·앱,7
58-genre-pick-anime,58,genre-pick-anime,장르 추천,8
59-pc-games,59,pc-games,PC 게임,1
59-mobile-games,59,mobile-games,모바일 게임,2
59-console,59,console,콘솔,3
59-lol-esports,59,lol-esports,롤·e스포츠,4
59-game-guide,59,game-guide,공략,5
59-gear-peripheral,59,gear-peripheral,게이밍 기어,6
59-indie-steam,59,indie-steam,인디·스팀,7
59-patch-meta,59,patch-meta,패치·메타,8
60-boardgame,60,boardgame,보드게임,1
60-lego-blocks,60,lego-blocks,레고·블록,2
60-figure-collect,60,figure-collect,피규어·수집,3
60-tcg-card,60,tcg-card,TCG·카드,4
60-puzzle,60,puzzle,퍼즐,5
60-tabletop-cafe,60,tabletop-cafe,보드게임 카페,6
60-display,60,display,진열·보관,7
60-gift-hobby,60,gift-hobby,취미 선물,8
61-iphone,61,iphone,아이폰,1
61-galaxy,61,galaxy,갤럭시,2
61-tablet-ipad,61,tablet-ipad,태블릿·아이패드,3
61-compare-models,61,compare-models,기종 비교,4
61-case-accessory,61,case-accessory,케이스·액세,5
61-battery-charge,61,battery-charge,배터리·충전,6
61-tips-tricks,61,tips-tricks,사용 팁,7
61-launch-rumor,61,launch-rumor,신제품·루머,8
62-laptop,62,laptop,노트북,1
62-desktop-pc,62,desktop-pc,데스크탑,2
62-monitor,62,monitor,모니터,3
62-keyboard-mouse,62,keyboard-mouse,키보드·마우스,4
62-gpu-cpu,62,gpu-cpu,GPU·CPU,5
62-mac-windows,62,mac-windows,맥·윈도우,6
62-upgrade-build,62,upgrade-build,조립·업그레이드,7
62-review-spec,62,review-spec,스펙 리뷰,8
63-productivity-apps,63,productivity-apps,생산성 앱,1
63-finance-apps,63,finance-apps,금융 앱,2
63-delivery-life-apps,63,delivery-life-apps,생활 앱,3
63-subscription-review,63,subscription-review,구독 서비스,4
63-app-comparison,63,app-comparison,앱 비교,5
63-privacy-security-app,63,privacy-security-app,보안·개인정보,6
63-new-app,63,new-app,신규 앱,7
63-tutorial-app,63,tutorial-app,앱 사용법,8
64-chatgpt,64,chatgpt,ChatGPT,1
64-image-ai,64,image-ai,이미지 AI,2
64-prompt-tips,64,prompt-tips,프롬프트,3
64-work-automation,64,work-automation,업무 자동화,4
64-coding-ai,64,coding-ai,코딩 AI,5
64-ai-tools-list,64,ai-tools-list,AI 도구 모음,6
64-ethics-copyright,64,ethics-copyright,윤리·저작권,7
64-claude-gemini-etc,64,claude-gemini-etc,Claude·Gemini 등,8
65-python,65,python,Python,1
65-javascript,65,javascript,JavaScript,2
65-web-basics,65,web-basics,웹 기초,3
65-portfolio,65,portfolio,포트폴리오,4
65-bootcamp,65,bootcamp,부트캠프·강의,5
65-github-git,65,github-git,Git·GitHub,6
65-career-dev,65,career-dev,개발 취업,7
65-error-debug,65,error-debug,에러·디버깅,8
66-blog-start,66,blog-start,블로그 시작,1
66-seo-basics,66,seo-basics,SEO,2
66-instagram,66,instagram,인스타그램,3
66-youtube-grow,66,youtube-grow,유튜브 성장,4
66-ads-sns,66,ads-sns,광고·SNS,5
66-analytics,66,analytics,통계·분석,6
66-monetization,66,monetization,수익화,7
66-branding,66,branding,브랜딩,8
67-civil-exam,67,civil-exam,공무원,1
67-cert-it,67,cert-it,IT 자격증,2
67-cert-finance,67,cert-finance,금융 자격증,3
67-study-schedule,67,study-schedule,공부 계획,4
67-past-exam,67,past-exam,기출·문제,5
67-pass-review,67,pass-review,합격 후기,6
67-firefighter-police,67,firefighter-police,소방·경찰,7
67-professional-exam,67,professional-exam,전문직 시험,8
68-english,68,english,영어,1
68-japanese,68,japanese,일본어,2
68-toeic-opic,68,toeic-opic,토익·오픽,3
68-study-abroad,68,study-abroad,유학,4
68-working-holiday,68,working-holiday,워홀,5
68-immigration-visa,68,immigration-visa,이민·비자,6
68-language-school,68,language-school,어학연수,7
68-translation-tips,68,translation-tips,번역·표현,8
69-new-car,69,new-car,신차,1
69-used-car,69,used-car,중고차,2
69-electric-hybrid,69,electric-hybrid,전기·하이브리드,3
69-maintenance,69,maintenance,정비·소모품,4
69-insurance-accident,69,insurance-accident,보험·사고,5
69-driving-test,69,driving-test,면허·운전,6
69-car-accessory,69,car-accessory,용품·튜닝,7
69-compare-models-car,69,compare-models-car,차종 비교,8
70-lease-fraud,70,lease-fraud,전세사기,1
70-labor-law,70,labor-law,근로·퇴직,2
70-contract-basic,70,contract-basic,계약 기초,3
70-consumer-rights,70,consumer-rights,소비자,4
70-fine-penalty,70,fine-penalty,과태료,5
70-inheritance-gift,70,inheritance-gift,상속·증여,6
70-divorce-law,70,divorce-law,이혼 법,7
70-online-legal,70,online-legal,온라인 법률,8
71-daily-news,71,daily-news,오늘 이슈,1
71-politics-summary,71,politics-summary,정치 요약,2
71-economy-news,71,economy-news,경제,3
71-international,71,international,국제,4
71-opinion-column,71,opinion-column,칼럼·의견,5
71-fact-check,71,fact-check,팩트체크,6
71-election,71,election,선거,7
71-media-literacy,71,media-literacy,미디어 리터러시,8
72-neighborhood-guide,72,neighborhood-guide,동네 가이드,1
72-local-restaurant,72,local-restaurant,동네 맛집,2
72-market-festival,72,market-festival,시장·골목,3
72-moving-area,72,moving-area,이사·지역 선택,4
72-apartment-dong,72,apartment-dong,아파트·단지,5
72-kids-facility,72,kids-facility,공원·키즈,6
72-parking-transport,72,parking-transport,주차·교통,7
72-local-news,72,local-news,지역 소식,8
