question_id,l3_id,l2_id,l1_code,question_type,seo_format,focus_keyword,question_text
01-work-life-비-오는-날-직장인-일상-대체-활동-03,01-work-life-비-오는-날-직장인-일상-대체-활동-03,01-work-life,01,benefit,pipe,비 오는 날 직장인 일상 대체 활동,비 오는 날 직장인 일상 대체 활동 | 핵심 총정리
01-work-life-30일-직장인-일상-챌린지-설계-04,01-work-life-30일-직장인-일상-챌린지-설계-04,01-work-life,01,start,summary,30일 직장인 일상 챌린지 설계,"30일 직장인 일상 챌린지 설계, 체크리스트"
01-work-life-꾸준히-하는-직장인-일상-습관-05,01-work-life-꾸준히-하는-직장인-일상-습관-05,01-work-life,01,challenge,vs,꾸준히 하는 직장인 일상 습관,"꾸준히 하는 직장인 일상 습관 vs 기존 습관, 어떤 것이 더 좋을까"
01-work-life-계절-바뀔-때-직장인-일상-변화-06,01-work-life-계절-바뀔-때-직장인-일상-변화-06,01-work-life,01,choose,vs,계절 바뀔 때 직장인 일상 변화,"계절 바뀔 때 직장인 일상 변화 vs 기존 습관, 어떤 것이 더 유리할까"
01-work-life-퇴사-후-직장인-일상-리셋-07,01-work-life-퇴사-후-직장인-일상-리셋-07,01-work-life,01,choose,pipe,퇴사 후 직장인 일상 리셋,퇴사 후 직장인 일상 리셋 | 핵심 총정리
01-work-life-20대-직장인-일상-입문-가이드-08,01-work-life-20대-직장인-일상-입문-가이드-08,01-work-life,01,habit,pipe,20대 직장인 일상 입문 가이드,20대 직장인 일상 입문 가이드 | 핵심 총정리
01-work-life-친구랑-함께하는-직장인-일상-09,01-work-life-친구랑-함께하는-직장인-일상-09,01-work-life,01,habit,vs,친구랑 함께하는 직장인 일상,"친구랑 함께하는 직장인 일상 vs 기존 습관, 어떤 것이 더 좋을까"
01-work-life-새해-직장인-일상-목표-세우기-10,01-work-life-새해-직장인-일상-목표-세우기-10,01-work-life,01,start,ask,새해 직장인 일상 목표 세우기,"새해 직장인 일상 목표 세우기, 알아두면 충분할까?"
01-work-life-처음-직장인-일상-전에-확인할-것-11,01-work-life-처음-직장인-일상-전에-확인할-것-11,01-work-life,01,routine,vs,처음 직장인 일상 전에 확인할 것,"처음 직장인 일상 전에 확인할 것 vs 메모 앱, 어떤 것이 더 좋을까"
01-work-life-직장인-직장인-일상-시간-관리-12,01-work-life-직장인-직장인-일상-시간-관리-12,01-work-life,01,pitfall,pipe,직장인 직장인 일상 시간 관리,직장인 직장인 일상 시간 관리 | 완벽 가이드
01-work-life-명절연휴-직장인-일상-준비-13,01-work-life-명절연휴-직장인-일상-준비-13,01-work-life,01,routine,summary,명절·연휴 직장인 일상 준비,"명절·연휴 직장인 일상 준비, 핵심 총정리"
01-work-life-취미로-전환한-직장인-일상-14,01-work-life-취미로-전환한-직장인-일상-14,01-work-life,01,solo,pipe,취미로 전환한 직장인 일상,취미로 전환한 직장인 일상 | 꿀팁 모음
01-work-life-30대-직장인-일상-후기-정리-15,01-work-life-30대-직장인-일상-후기-정리-15,01-work-life,01,benefit,ask,30대 직장인 일상 후기 정리,"30대 직장인 일상 후기 정리, 초보자도 가능할까?"
01-work-life-혼자-하는-직장인-일상-장단점-16,01-work-life-혼자-하는-직장인-일상-장단점-16,01-work-life,01,benefit,pipe,혼자 하는 직장인 일상 장단점,혼자 하는 직장인 일상 장단점 | 핵심 총정리
01-work-life-월급날-후-직장인-일상-정리-17,01-work-life-월급날-후-직장인-일상-정리-17,01-work-life,01,challenge,pipe,월급날 후 직장인 일상 정리,월급날 후 직장인 일상 정리 | 핵심 총정리
01-work-life-부담-없이-시작하는-직장인-일상-18,01-work-life-부담-없이-시작하는-직장인-일상-18,01-work-life,01,choose,pipe,부담 없이 시작하는 직장인 일상,부담 없이 시작하는 직장인 일상 | 완벽 가이드
01-weekend-퇴근-후-10분-주말휴일-루틴-01,01-weekend-퇴근-후-10분-주말휴일-루틴-01,01-weekend,01,start,vs,퇴근 후 10분 주말·휴일 루틴,"퇴근 후 10분 주말·휴일 루틴 vs 종이 노트, 어떤 것이 더 좋을까"
01-weekend-주말만-하는-주말휴일-플랜-02,01-weekend-주말만-하는-주말휴일-플랜-02,01-weekend,01,benefit,ask,주말만 하는 주말·휴일 플랜,"주말만 하는 주말·휴일 플랜, 초보자도 가능할까?"
01-weekend-sns에-올리는-주말휴일-아이디어-03,01-weekend-sns에-올리는-주말휴일-아이디어-03,01-weekend,01,social,vs,SNS에 올리는 주말·휴일 아이디어,"SNS에 올리는 주말·휴일 아이디어 vs 종이 노트, 어떤 것이 더 좋을까"
01-weekend-출근-전-5분-주말휴일-04,01-weekend-출근-전-5분-주말휴일-04,01-weekend,01,habit,summary,출근 전 5분 주말·휴일,"출근 전 5분 주말·휴일, 핵심 총정리"
01-weekend-1인-가구-주말휴일-현실-팁-05,01-weekend-1인-가구-주말휴일-현실-팁-05,01-weekend,01,start,ask,1인 가구 주말·휴일 현실 팁,"1인 가구 주말·휴일 현실 팁, 초보자도 가능할까?"
01-weekend-번아웃-올-때-주말휴일-조절-06,01-weekend-번아웃-올-때-주말휴일-조절-06,01-weekend,01,pitfall,summary,번아웃 올 때 주말·휴일 조절,"번아웃 올 때 주말·휴일 조절, 완벽 가이드"
01-weekend-비-오는-날-주말휴일-대체-활동-07,01-weekend-비-오는-날-주말휴일-대체-활동-07,01-weekend,01,routine,vs,비 오는 날 주말·휴일 대체 활동,"비 오는 날 주말·휴일 대체 활동 vs 종이 노트, 어떤 것이 더 좋을까"
01-weekend-30일-주말휴일-챌린지-설계-08,01-weekend-30일-주말휴일-챌린지-설계-08,01-weekend,01,season,summary,30일 주말·휴일 챌린지 설계,"30일 주말·휴일 챌린지 설계, 꿀팁 모음"
01-weekend-꾸준히-하는-주말휴일-습관-09,01-weekend-꾸준히-하는-주말휴일-습관-09,01-weekend,01,solo,vs,꾸준히 하는 주말·휴일 습관,"꾸준히 하는 주말·휴일 습관 vs 메모 앱, 어떤 것이 더 좋을까"
01-weekend-계절-바뀔-때-주말휴일-변화-10,01-weekend-계절-바뀔-때-주말휴일-변화-10,01-weekend,01,routine,vs,계절 바뀔 때 주말·휴일 변화,"계절 바뀔 때 주말·휴일 변화 vs 기존 습관, 어떤 것이 더 좋을까"
01-weekend-퇴사-후-주말휴일-리셋-11,01-weekend-퇴사-후-주말휴일-리셋-11,01-weekend,01,season,vs,퇴사 후 주말·휴일 리셋,"퇴사 후 주말·휴일 리셋 vs 종이 노트, 어떤 것이 더 좋을까"
01-weekend-20대-주말휴일-입문-가이드-12,01-weekend-20대-주말휴일-입문-가이드-12,01-weekend,01,start,pipe,20대 주말·휴일 입문 가이드,20대 주말·휴일 입문 가이드 | 시작 가이드
01-weekend-친구랑-함께하는-주말휴일-13,01-weekend-친구랑-함께하는-주말휴일-13,01-weekend,01,season,pipe,친구랑 함께하는 주말·휴일,친구랑 함께하는 주말·휴일 | 최신 정리
01-weekend-새해-주말휴일-목표-세우기-14,01-weekend-새해-주말휴일-목표-세우기-14,01-weekend,01,choose,pipe,새해 주말·휴일 목표 세우기,새해 주말·휴일 목표 세우기 | 최신 정리
01-weekend-처음-주말휴일-전에-확인할-것-15,01-weekend-처음-주말휴일-전에-확인할-것-15,01-weekend,01,social,ask,처음 주말·휴일 전에 확인할 것,"처음 주말·휴일 전에 확인할 것, 알아두면 충분할까?"
01-weekend-직장인-주말휴일-시간-관리-16,01-weekend-직장인-주말휴일-시간-관리-16,01-weekend,01,pitfall,pipe,직장인 주말·휴일 시간 관리,직장인 주말·휴일 시간 관리 | 핵심 총정리
01-weekend-명절연휴-주말휴일-준비-17,01-weekend-명절연휴-주말휴일-준비-17,01-weekend,01,solo,ask,명절·연휴 주말·휴일 준비,"명절·연휴 주말·휴일 준비, 얼마나 걸릴까?"
01-weekend-취미로-전환한-주말휴일-18,01-weekend-취미로-전환한-주말휴일-18,01-weekend,01,start,vs,취미로 전환한 주말·휴일,"취미로 전환한 주말·휴일 vs 메모 앱, 어떤 것이 더 좋을까"
01-mindfulness-30대-마음챙김명상-후기-정리-01,01-mindfulness-30대-마음챙김명상-후기-정리-01,01-mindfulness,01,solo,pipe,30대 마음챙김·명상 후기 정리,30대 마음챙김·명상 후기 정리 | 최신 정리
01-mindfulness-혼자-하는-마음챙김명상-장단점-02,01-mindfulness-혼자-하는-마음챙김명상-장단점-02,01-mindfulness,01,start,vs,혼자 하는 마음챙김·명상 장단점,"혼자 하는 마음챙김·명상 장단점 vs 메모 앱, 어떤 것이 더 좋을까"
01-mindfulness-월급날-후-마음챙김명상-정리-03,01-mindfulness-월급날-후-마음챙김명상-정리-03,01-mindfulness,01,solo,pipe,월급날 후 마음챙김·명상 정리,월급날 후 마음챙김·명상 정리 | 완벽 가이드
01-mindfulness-부담-없이-시작하는-마음챙김명상-04,01-mindfulness-부담-없이-시작하는-마음챙김명상-04,01-mindfulness,01,benefit,pipe,부담 없이 시작하는 마음챙김·명상,부담 없이 시작하는 마음챙김·명상 | 핵심 총정리
01-mindfulness-대학생-마음챙김명상-시작법-05,01-mindfulness-대학생-마음챙김명상-시작법-05,01-mindfulness,01,challenge,vs,대학생 마음챙김·명상 시작법,"대학생 마음챙김·명상 시작법 vs 종이 노트, 어떤 것이 더 좋을까"
01-mindfulness-이사-후-새로-시작하는-마음챙김명상-06,01-mindfulness-이사-후-새로-시작하는-마음챙김명상-06,01-mindfulness,01,challenge,vs,이사 후 새로 시작하는 마음챙김·명상,"이사 후 새로 시작하는 마음챙김·명상 vs 종이 노트, 어떤 것이 더 좋을까"
01-mindfulness-퇴근-후-10분-마음챙김명상-루틴-07,01-mindfulness-퇴근-후-10분-마음챙김명상-루틴-07,01-mindfulness,01,solo,ask,퇴근 후 10분 마음챙김·명상 루틴,"퇴근 후 10분 마음챙김·명상 루틴, 초보자도 가능할까?"
01-mindfulness-주말만-하는-마음챙김명상-플랜-08,01-mindfulness-주말만-하는-마음챙김명상-플랜-08,01-mindfulness,01,social,ask,주말만 하는 마음챙김·명상 플랜,"주말만 하는 마음챙김·명상 플랜, 알아두면 충분할까?"
01-mindfulness-sns에-올리는-마음챙김명상-아이디어-09,01-mindfulness-sns에-올리는-마음챙김명상-아이디어-09,01-mindfulness,01,choose,pipe,SNS에 올리는 마음챙김·명상 아이디어,SNS에 올리는 마음챙김·명상 아이디어 | 핵심 총정리
01-mindfulness-출근-전-5분-마음챙김명상-10,01-mindfulness-출근-전-5분-마음챙김명상-10,01-mindfulness,01,social,pipe,출근 전 5분 마음챙김·명상,출근 전 5분 마음챙김·명상 | 핵심 총정리
01-mindfulness-1인-가구-마음챙김명상-현실-팁-11,01-mindfulness-1인-가구-마음챙김명상-현실-팁-11,01-mindfulness,01,start,vs,1인 가구 마음챙김·명상 현실 팁,"1인 가구 마음챙김·명상 현실 팁 vs 메모 앱, 어떤 것이 더 좋을까"
01-mindfulness-번아웃-올-때-마음챙김명상-조절-12,01-mindfulness-번아웃-올-때-마음챙김명상-조절-12,01-mindfulness,01,challenge,pipe,번아웃 올 때 마음챙김·명상 조절,번아웃 올 때 마음챙김·명상 조절 | 최신 정리
01-mindfulness-비-오는-날-마음챙김명상-대체-활동-13,01-mindfulness-비-오는-날-마음챙김명상-대체-활동-13,01-mindfulness,01,routine,ask,비 오는 날 마음챙김·명상 대체 활동,"비 오는 날 마음챙김·명상 대체 활동, 알아두면 충분할까?"
01-mindfulness-30일-마음챙김명상-챌린지-설계-14,01-mindfulness-30일-마음챙김명상-챌린지-설계-14,01-mindfulness,01,social,vs,30일 마음챙김·명상 챌린지 설계,"30일 마음챙김·명상 챌린지 설계 vs 종이 노트, 어떤 것이 더 좋을까"
01-mindfulness-꾸준히-하는-마음챙김명상-습관-15,01-mindfulness-꾸준히-하는-마음챙김명상-습관-15,01-mindfulness,01,benefit,vs,꾸준히 하는 마음챙김·명상 습관,"꾸준히 하는 마음챙김·명상 습관 vs 메모 앱, 어떤 것이 더 좋을까"
01-mindfulness-계절-바뀔-때-마음챙김명상-변화-16,01-mindfulness-계절-바뀔-때-마음챙김명상-변화-16,01-mindfulness,01,routine,summary,계절 바뀔 때 마음챙김·명상 변화,"계절 바뀔 때 마음챙김·명상 변화, 꿀팁 모음"
01-mindfulness-퇴사-후-마음챙김명상-리셋-17,01-mindfulness-퇴사-후-마음챙김명상-리셋-17,01-mindfulness,01,start,summary,퇴사 후 마음챙김·명상 리셋,"퇴사 후 마음챙김·명상 리셋, 초보자 총정리"
01-mindfulness-20대-마음챙김명상-입문-가이드-18,01-mindfulness-20대-마음챙김명상-입문-가이드-18,01-mindfulness,01,start,summary,20대 마음챙김·명상 입문 가이드,"20대 마음챙김·명상 입문 가이드, 체크리스트"
01-seasonal-비-오는-날-계절명절-일상-대체-활동-01,01-seasonal-비-오는-날-계절명절-일상-대체-활동-01,01-seasonal,01,pitfall,pipe,비 오는 날 계절·명절 일상 대체 활동,비 오는 날 계절·명절 일상 대체 활동 | 꿀팁 모음
01-seasonal-30일-계절명절-일상-챌린지-설계-02,01-seasonal-30일-계절명절-일상-챌린지-설계-02,01-seasonal,01,solo,ask,30일 계절·명절 일상 챌린지 설계,"30일 계절·명절 일상 챌린지 설계, 얼마나 걸릴까?"
01-seasonal-꾸준히-하는-계절명절-일상-습관-03,01-seasonal-꾸준히-하는-계절명절-일상-습관-03,01-seasonal,01,social,vs,꾸준히 하는 계절·명절 일상 습관,"꾸준히 하는 계절·명절 일상 습관 vs 기존 습관, 어떤 것이 더 좋을까"
01-seasonal-계절-바뀔-때-계절명절-일상-변화-04,01-seasonal-계절-바뀔-때-계절명절-일상-변화-04,01-seasonal,01,habit,ask,계절 바뀔 때 계절·명절 일상 변화,"계절 바뀔 때 계절·명절 일상 변화, 알아두면 충분할까?"
01-seasonal-퇴사-후-계절명절-일상-리셋-05,01-seasonal-퇴사-후-계절명절-일상-리셋-05,01-seasonal,01,choose,summary,퇴사 후 계절·명절 일상 리셋,"퇴사 후 계절·명절 일상 리셋, 꿀팁 모음"
01-seasonal-20대-계절명절-일상-입문-가이드-06,01-seasonal-20대-계절명절-일상-입문-가이드-06,01-seasonal,01,social,ask,20대 계절·명절 일상 입문 가이드,"20대 계절·명절 일상 입문 가이드, 얼마나 걸릴까?"
01-seasonal-친구랑-함께하는-계절명절-일상-07,01-seasonal-친구랑-함께하는-계절명절-일상-07,01-seasonal,01,pitfall,summary,친구랑 함께하는 계절·명절 일상,"친구랑 함께하는 계절·명절 일상, 최신 정리"
01-seasonal-새해-계절명절-일상-목표-세우기-08,01-seasonal-새해-계절명절-일상-목표-세우기-08,01-seasonal,01,benefit,summary,새해 계절·명절 일상 목표 세우기,"새해 계절·명절 일상 목표 세우기, 완벽 가이드"
01-seasonal-처음-계절명절-일상-전에-확인할-것-09,01-seasonal-처음-계절명절-일상-전에-확인할-것-09,01-seasonal,01,season,ask,처음 계절·명절 일상 전에 확인할 것,"처음 계절·명절 일상 전에 확인할 것, 초보자도 가능할까?"
01-seasonal-직장인-계절명절-일상-시간-관리-10,01-seasonal-직장인-계절명절-일상-시간-관리-10,01-seasonal,01,routine,summary,직장인 계절·명절 일상 시간 관리,"직장인 계절·명절 일상 시간 관리, 완벽 가이드"
01-seasonal-명절연휴-계절명절-일상-준비-11,01-seasonal-명절연휴-계절명절-일상-준비-11,01-seasonal,01,social,ask,명절·연휴 계절·명절 일상 준비,"명절·연휴 계절·명절 일상 준비, 초보자도 가능할까?"
01-seasonal-취미로-전환한-계절명절-일상-12,01-seasonal-취미로-전환한-계절명절-일상-12,01-seasonal,01,pitfall,summary,취미로 전환한 계절·명절 일상,"취미로 전환한 계절·명절 일상, 최신 정리"
01-seasonal-30대-계절명절-일상-후기-정리-13,01-seasonal-30대-계절명절-일상-후기-정리-13,01-seasonal,01,pitfall,summary,30대 계절·명절 일상 후기 정리,"30대 계절·명절 일상 후기 정리, 완벽 가이드"
01-seasonal-혼자-하는-계절명절-일상-장단점-14,01-seasonal-혼자-하는-계절명절-일상-장단점-14,01-seasonal,01,routine,pipe,혼자 하는 계절·명절 일상 장단점,혼자 하는 계절·명절 일상 장단점 | 꿀팁 모음
01-seasonal-월급날-후-계절명절-일상-정리-15,01-seasonal-월급날-후-계절명절-일상-정리-15,01-seasonal,01,habit,pipe,월급날 후 계절·명절 일상 정리,월급날 후 계절·명절 일상 정리 | 최신 정리
01-seasonal-부담-없이-시작하는-계절명절-일상-16,01-seasonal-부담-없이-시작하는-계절명절-일상-16,01-seasonal,01,pitfall,pipe,부담 없이 시작하는 계절·명절 일상,부담 없이 시작하는 계절·명절 일상 | 꿀팁 모음
01-seasonal-대학생-계절명절-일상-시작법-17,01-seasonal-대학생-계절명절-일상-시작법-17,01-seasonal,01,choose,pipe,대학생 계절·명절 일상 시작법,대학생 계절·명절 일상 시작법 | 완벽 가이드
01-seasonal-이사-후-새로-시작하는-계절명절-일상-18,01-seasonal-이사-후-새로-시작하는-계절명절-일상-18,01-seasonal,01,benefit,pipe,이사 후 새로 시작하는 계절·명절 일상,이사 후 새로 시작하는 계절·명절 일상 | 핵심 총정리
01-home-cafe-처음-홈카페취미생활-전에-확인할-것-01,01-home-cafe-처음-홈카페취미생활-전에-확인할-것-01,01-home-cafe,01,routine,pipe,처음 홈카페·취미생활 전에 확인할 것,처음 홈카페·취미생활 전에 확인할 것 | 최신 정리
01-home-cafe-직장인-홈카페취미생활-시간-관리-02,01-home-cafe-직장인-홈카페취미생활-시간-관리-02,01-home-cafe,01,social,ask,직장인 홈카페·취미생활 시간 관리,"직장인 홈카페·취미생활 시간 관리, 알아두면 충분할까?"
01-home-cafe-명절연휴-홈카페취미생활-준비-03,01-home-cafe-명절연휴-홈카페취미생활-준비-03,01-home-cafe,01,habit,summary,명절·연휴 홈카페·취미생활 준비,"명절·연휴 홈카페·취미생활 준비, 최신 정리"
01-home-cafe-취미로-전환한-홈카페취미생활-04,01-home-cafe-취미로-전환한-홈카페취미생활-04,01-home-cafe,01,start,ask,취미로 전환한 홈카페·취미생활,"취미로 전환한 홈카페·취미생활, 얼마나 걸릴까?"
01-home-cafe-30대-홈카페취미생활-후기-정리-05,01-home-cafe-30대-홈카페취미생활-후기-정리-05,01-home-cafe,01,choose,pipe,30대 홈카페·취미생활 후기 정리,30대 홈카페·취미생활 후기 정리 | 핵심 총정리
01-home-cafe-혼자-하는-홈카페취미생활-장단점-06,01-home-cafe-혼자-하는-홈카페취미생활-장단점-06,01-home-cafe,01,choose,pipe,혼자 하는 홈카페·취미생활 장단점,혼자 하는 홈카페·취미생활 장단점 | 핵심 총정리
01-home-cafe-월급날-후-홈카페취미생활-정리-07,01-home-cafe-월급날-후-홈카페취미생활-정리-07,01-home-cafe,01,routine,pipe,월급날 후 홈카페·취미생활 정리,월급날 후 홈카페·취미생활 정리 | 최신 정리
01-home-cafe-부담-없이-시작하는-홈카페취미생활-08,01-home-cafe-부담-없이-시작하는-홈카페취미생활-08,01-home-cafe,01,solo,ask,부담 없이 시작하는 홈카페·취미생활,"부담 없이 시작하는 홈카페·취미생활, 얼마나 걸릴까?"
01-home-cafe-대학생-홈카페취미생활-시작법-09,01-home-cafe-대학생-홈카페취미생활-시작법-09,01-home-cafe,01,pitfall,pipe,대학생 홈카페·취미생활 시작법,대학생 홈카페·취미생활 시작법 | 꿀팁 모음
01-home-cafe-이사-후-새로-시작하는-홈카페취미생활-10,01-home-cafe-이사-후-새로-시작하는-홈카페취미생활-10,01-home-cafe,01,challenge,pipe,이사 후 새로 시작하는 홈카페·취미생활,이사 후 새로 시작하는 홈카페·취미생활 | 핵심 총정리
01-home-cafe-퇴근-후-10분-홈카페취미생활-루틴-11,01-home-cafe-퇴근-후-10분-홈카페취미생활-루틴-11,01-home-cafe,01,social,vs,퇴근 후 10분 홈카페·취미생활 루틴,"퇴근 후 10분 홈카페·취미생활 루틴 vs 종이 노트, 어떤 것이 더 좋을까"
01-home-cafe-주말만-하는-홈카페취미생활-플랜-12,01-home-cafe-주말만-하는-홈카페취미생활-플랜-12,01-home-cafe,01,choose,pipe,주말만 하는 홈카페·취미생활 플랜,주말만 하는 홈카페·취미생활 플랜 | 꿀팁 모음
01-home-cafe-sns에-올리는-홈카페취미생활-아이디어-13,01-home-cafe-sns에-올리는-홈카페취미생활-아이디어-13,01-home-cafe,01,social,pipe,SNS에 올리는 홈카페·취미생활 아이디어,SNS에 올리는 홈카페·취미생활 아이디어 | 꿀팁 모음
01-home-cafe-출근-전-5분-홈카페취미생활-14,01-home-cafe-출근-전-5분-홈카페취미생활-14,01-home-cafe,01,benefit,vs,출근 전 5분 홈카페·취미생활,"출근 전 5분 홈카페·취미생활 vs 메모 앱, 어떤 것이 더 좋을까"
01-home-cafe-1인-가구-홈카페취미생활-현실-팁-15,01-home-cafe-1인-가구-홈카페취미생활-현실-팁-15,01-home-cafe,01,routine,summary,1인 가구 홈카페·취미생활 현실 팁,"1인 가구 홈카페·취미생활 현실 팁, 최신 정리"
01-home-cafe-번아웃-올-때-홈카페취미생활-조절-16,01-home-cafe-번아웃-올-때-홈카페취미생활-조절-16,01-home-cafe,01,social,vs,번아웃 올 때 홈카페·취미생활 조절,"번아웃 올 때 홈카페·취미생활 조절 vs 종이 노트, 어떤 것이 더 좋을까"
01-home-cafe-비-오는-날-홈카페취미생활-대체-활동-17,01-home-cafe-비-오는-날-홈카페취미생활-대체-활동-17,01-home-cafe,01,routine,pipe,비 오는 날 홈카페·취미생활 대체 활동,비 오는 날 홈카페·취미생활 대체 활동 | 핵심 총정리
01-home-cafe-30일-홈카페취미생활-챌린지-설계-18,01-home-cafe-30일-홈카페취미생활-챌린지-설계-18,01-home-cafe,01,solo,ask,30일 홈카페·취미생활 챌린지 설계,"30일 홈카페·취미생활 챌린지 설계, 알아두면 충분할까?"
01-gratitude-20대-감사긍정-입문-가이드-01,01-gratitude-20대-감사긍정-입문-가이드-01,01-gratitude,01,start,ask,20대 감사·긍정 입문 가이드,"20대 감사·긍정 입문 가이드, 초보자도 가능할까?"
01-gratitude-친구랑-함께하는-감사긍정-02,01-gratitude-친구랑-함께하는-감사긍정-02,01-gratitude,01,social,ask,친구랑 함께하는 감사·긍정,"친구랑 함께하는 감사·긍정, 초보자도 가능할까?"
01-gratitude-새해-감사긍정-목표-세우기-03,01-gratitude-새해-감사긍정-목표-세우기-03,01-gratitude,01,social,vs,새해 감사·긍정 목표 세우기,"새해 감사·긍정 목표 세우기 vs 기존 습관, 어떤 것이 더 좋을까"
01-gratitude-처음-감사긍정-전에-확인할-것-04,01-gratitude-처음-감사긍정-전에-확인할-것-04,01-gratitude,01,solo,pipe,처음 감사·긍정 전에 확인할 것,처음 감사·긍정 전에 확인할 것 | 핵심 총정리
01-gratitude-직장인-감사긍정-시간-관리-05,01-gratitude-직장인-감사긍정-시간-관리-05,01-gratitude,01,benefit,pipe,직장인 감사·긍정 시간 관리,직장인 감사·긍정 시간 관리 | 꿀팁 모음
01-gratitude-명절연휴-감사긍정-준비-06,01-gratitude-명절연휴-감사긍정-준비-06,01-gratitude,01,social,pipe,명절·연휴 감사·긍정 준비,명절·연휴 감사·긍정 준비 | 완벽 가이드
01-gratitude-취미로-전환한-감사긍정-07,01-gratitude-취미로-전환한-감사긍정-07,01-gratitude,01,season,vs,취미로 전환한 감사·긍정,"취미로 전환한 감사·긍정 vs 종이 노트, 어떤 것이 더 좋을까"
