l2_id,l1_code,l2_slug,name_ko,description,sort_order,model,generated_at
04-plus-size-fashion,04,plus-size-fashion,플러스사이즈,체형의 장점을 살리는 플러스 사이즈 패션 스타일링 팁을 제안합니다.,26,scout+gemini,2026-06-05T07:20:10.657415+00:00
04-daily-outfit,04,daily-outfit,데일리룩,매일 입기 좋은 실용적이고 트렌디한 일상 코디를 기록합니다.,27,scout+gemini,2026-06-05T07:20:10.657415+00:00
04-interview-outfit,04,interview-outfit,면접 복장,취업 면접을 위한 격식 있는 복장 선택과 스타일링 가이드를 제공합니다.,28,scout+gemini,2026-06-05T07:20:10.657415+00:00
04-denim-coordination,04,denim-coordination,데님 코디,다양한 데님 아이템을 활용한 세련된 코디법을 소개합니다.,29,scout+gemini,2026-06-05T07:20:10.657415+00:00
04-athleisure,04,athleisure,애슬레저,"운동복의 일상화 — 레깅스·요가복 코디, 브랜드, 소재 정보. 운동 자체는 03, 일반 코디는 04-스타일링 담당.",91,claude_direct,2026-06-12T02:03:49.266211+00:00
04-golf-wear,04,golf-wear,골프웨어,"골프장 복장 — 드레스코드, 계절별 라운딩 복장, 골프화·모자·장갑. 레슨·클럽 등 장비는 05-골프 레슨·장비 담당.",92,claude_direct,2026-06-12T02:03:49.266212+00:00
04-guest-look,04,guest-look,하객룩,결혼식·돌잔치·장례식·상견례 등 경조사 복장과 매너. 임산부 복장은 04-임부복 담당.,93,claude_direct,2026-06-12T02:03:49.266214+00:00
04-jewelry-watch,04,jewelry-watch,주얼리·시계,"귀금속·시계 — 소재, 관리, 선물, 예물. 모자·가방·스카프 등 잡화는 04-액세서리 담당.",94,claude_direct,2026-06-12T02:03:49.266216+00:00
04-luxury-resell,04,luxury-resell,명품·리셀,"명품 구매·감정·관리와 리셀 시장. 가방 일반은 04-가방, 브랜드 일반은 04-브랜드 리뷰 담당.",95,claude_direct,2026-06-12T02:03:49.266218+00:00
04-maternity-wear,04,maternity-wear,임부복,"임신 기간 의류 — 시기별 전환, 필수템, 속옷·신발. 육아 생활은 16 담당.",96,claude_direct,2026-06-12T02:03:49.266220+00:00
05-sports-news,05,sports-news,스포츠 뉴스,최신 스포츠 뉴스 및 이슈,1,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
05-soccer-analysis,05,soccer-analysis,축구 분석,축구 경기 분석 및 전략,2,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
05-baseball-info,05,baseball-info,야구 정보,야구 경기 정보 및 선수 소식,3,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
05-international-sports,05,international-sports,해외 스포츠,해외 스포츠 경기 및 이슈,4,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
05-player-profile,05,player-profile,선수 프로필,스포츠 선수 프로필 및 인터뷰,5,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
05-sports-issue,05,sports-issue,스포츠 이슈,스포츠 관련 이슈 및 논란,7,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
05-soccer-player,05,soccer-player,축구 선수,축구 선수 정보 및 소식,8,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
05-sports-marketing,05,sports-marketing,스포츠 마케팅,스포츠 마케팅 및 스폰서십,10,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
05-game-schedule,05,game-schedule,경기 일정,스포츠 경기 일정 및 결과,11,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
