l3_id,l2_id,l1_code,l3_slug,focus_keyword,title_ko,search_intent,topic_angle,description,model,generated_at,tier,quality_score,drop_reason,pilot_phase,l1_name_ko,l2_name_ko,seo_priority,pick_rank
11-travel-essentials-travel-makeup-packing,11-travel-essentials,11,travel-makeup-packing,여행용 화장품 포장 팁,여행용 화장품 포장 팁과 추천 용품,howto,tip,여행용 화장품 포장 팁과 추천 용품,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,,1,여행,여행준비물,S,11
11-travel-essentials-travel-portable-charger,11-travel-essentials,11,travel-portable-charger,여행용 휴대용 채충기 추천,여행용 휴대용 충전기 추천과 사용법,compare,howto,여행 중 휴대폰과 기기 충전을 위한 제품 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,,1,여행,여행준비물,S,12
11-travel-essentials-travel-power-right-recommend,11-travel-essentials,11,travel-power-right-recommend,여행용 휴대용 전원 우측 추천,여행용 휴대용 전원 우측 추천과 팩킹 팁,compare,tip,여행용 휴대용 전원 우측 추천과 팩킹 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,,1,여행,여행준비물,S,13
11-travel-essentials-travel-simple-portable-charger,11-travel-essentials,11,travel-simple-portable-charger,여행용 간편 휴대용 충전기 추천,여행용 간편 휴대용 충전기 추천과 사용법,compare,howto,여행 중 간편하게 사용할 수 있는 휴대용 충전기 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,,1,여행,여행준비물,S,14
11-travel-essentials-travel-simple-toiletries,11-travel-essentials,11,travel-simple-toiletries,여행용 간편 세면도구 추천,여행용 간편 세면도구 추천과 수납 팁,compare,howto,여행 중 간편하게 사용할 수 있는 세면도구 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,,1,여행,여행준비물,S,15
11-accommodation-recommendations-family-pension-donghaean,11-accommodation-recommendations,11,family-pension-donghaean,강릉 동해안 펜션 가족 여행,강릉 동해안 펜션 가족 여행 추천과 예약 팁,howto,tip,가족과 함께 강릉 동해안 펜션을 예약하는 방법을 안내합니다.,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,숙소추천,S,1
11-accommodation-recommendations-family-vacation-pension-baekseok,11-accommodation-recommendations,11,family-vacation-pension-baekseok,용인 백석동 펜션 가족 휴가,용인 백석동 펜션 가족 휴가 추천과 백석동 관광코스,howto,tip,백석동 펜션과 가족 휴가 코스를 안내합니다.,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,숙소추천,S,2
11-accommodation-recommendations-pension-masan-nearby,11-accommodation-recommendations,11,pension-masan-nearby,창원 마산 인근 펜션,창원 마산 인근 펜션과 해안도로 드라이브 코스,howto,howto,마산 인근 펜션과 해안도로 드라이브 코스를 소개합니다.,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,숙소추천,S,3
11-accommodation-recommendations-beachview-hotel-haeundae,11-accommodation-recommendations,11,beachview-hotel-haeundae,부산 해운대 호텔 해변뷰,부산 해운대 해변뷰 호텔과 성수기 예약 팁,review,review,해운대 해변을 보는 호텔을 비교하고 예약 팁을 제공합니다.,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,90,,1,여행,숙소추천,S,4
11-accommodation-recommendations-busan-haeundae-beach-pension,11-accommodation-recommendations,11,busan-haeundae-beach-pension,부산 해운대 해수욕장 근처 펜션,부산 해운대 해수욕장 근처 펜션 추천과 예약 팁,review,local,해운대 해변가 펜션 리뷰와 주차·시설 활용법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,90,,1,여행,숙소추천,S,5
11-accommodation-recommendations-cheap-motel-hongdae,11-accommodation-recommendations,11,cheap-motel-hongdae,서울 홍대 근처 저렴한 모텔,서울 홍대 근처 저렴한 모텔 추천과 실용 팁,info,local,서울 홍대 근처에서 예산에 맞는 모텔을 찾는 방법을 소개합니다.,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,90,,1,여행,숙소추천,S,6
11-accommodation-recommendations-goyang-ilsan-budget-stay,11-accommodation-recommendations,11,goyang-ilsan-budget-stay,고양 일산 신월동 근처 저렴한 숙소,고양 일산 신월동 근처 저렴한 숙소 추천과 예약 팁,review,local,신월동 근처 숙소 리뷰와 교통·주차 정보,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,90,,1,여행,숙소추천,S,7
11-accommodation-recommendations-seoul-itaewon-club-stay,11-accommodation-recommendations,11,seoul-itaewon-club-stay,서울 이태원 클럽 근처 숙소,서울 이태원 클럽 근처 숙소 추천과 주의사항,review,local,이태원 클럽 근처 숙소 리뷰와 주차·소리문제 대처법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,90,,1,여행,숙소추천,S,8
11-accommodation-recommendations-ulsan-oseokdanji-budget-stay,11-accommodation-recommendations,11,ulsan-oseokdanji-budget-stay,울산 오색단지 근처 저렴한 숙소,울산 오색단지 근처 저렴한 숙소 추천과 예약 팁,review,local,오색단지 근처 숙소 리뷰와 교통·주차 정보,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,90,,1,여행,숙소추천,S,9
11-accommodation-recommendations-jeju-dongbaeksan-budget-stay,11-accommodation-recommendations,11,jeju-dongbaeksan-budget-stay,제주도 동백산 근처 가성비 숙소,제주도 동백산 근처 가성비 숙소 추천과 비교,compare,local,동백산 근처 저렴한 숙소 비교와 교통 접근성,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,84,,1,여행,숙소추천,S,10
11-accommodation-recommendations-hallasan-hiking-lodging,11-accommodation-recommendations,11,hallasan-hiking-lodging,제주 한라산 등반 숙소 추천,제주 한라산 등반 전용 숙소와 준비사항,howto,howto,한라산 등반을 위해 제주도에서 적합한 숙소와 준비물을 안내합니다.,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,80,,1,여행,숙소추천,S,11
11-accommodation-recommendations-anyang-manan-cheap-motel,11-accommodation-recommendations,11,anyang-manan-cheap-motel,안양 만안구 저렴한 모텔,안양 만안구에서 저렴한 모텔 5곳 (1만원대),review,local,안양 만안구 저렴한 모텔 정보,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,78,,1,여행,숙소추천,S,12
11-accommodation-recommendations-changwon-masan-cheap-hotel,11-accommodation-recommendations,11,changwon-masan-cheap-hotel,창원 마산 인근 저렴한 호텔,창원 마산 인근에서 저렴한 호텔 5곳,review,local,창원 마산 인근 저렴한 호텔 정보,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,78,,1,여행,숙소추천,S,13
11-accommodation-recommendations-cheap-accommodation-sinwoldong,11-accommodation-recommendations,11,cheap-accommodation-sinwoldong,고양 일산 신월동 근방 저렴한 숙소,고양 일산 신월동 근방 저렴한 숙소와 일산 신도시 관광,info,local,일산 신월동 근처 저렴한 숙소와 일산 신도시 관광지를 소개합니다.,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,78,,1,여행,숙소추천,S,14
11-accommodation-recommendations-cheap-guesthouse-dalseogu,11-accommodation-recommendations,11,cheap-guesthouse-dalseogu,대구 달서구 저렴한 게스트하우스,대구 달서구 저렴한 게스트하우스와 교통 편의성,info,local,대구 달서구에서 예산에 맞는 게스트하우스와 교통 정보를 안내합니다.,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,78,,1,여행,숙소추천,S,15
11-domestic-travel-check-korean-beach-weather,11-domestic-travel,11,check-korean-beach-weather,한국 해수욕장 날씨 확인,한국 해수욕장 날씨 확인 방법,howto,tip,한국 해수욕장의 날씨를 확인하는 방법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,국내여행,S,1
11-domestic-travel-korean-coastal-bike-travel,11-domestic-travel,11,korean-coastal-bike-travel,한국 해안가 자전거 여행,한국 해안가 자전거 여행 코스와 준비물,howto,howto,한국 해안가를 자전거로 여행하는 코스와 준비물,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,국내여행,S,2
11-domestic-travel-korean-high-speed-rail-travel,11-domestic-travel,11,korean-high-speed-rail-travel,한국 고속철도 여행,한국 고속철도 여행 코스와 팁,howto,howto,한국 고속철도를 이용한 여행 코스와 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,국내여행,S,3
11-domestic-travel-korean-mountain-bike-travel,11-domestic-travel,11,korean-mountain-bike-travel,한국 산악 자전거 여행,한국 산악 자전거 여행 코스와 준비물,howto,howto,한국 산악에서 자전거를 이용한 여행 코스와 준비물,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,국내여행,S,4
11-domestic-travel-korean-mountain-railway-travel,11-domestic-travel,11,korean-mountain-railway-travel,한국 산악 желез도 여행,한국 산악 철도 여행 코스와 정보,howto,howto,한국 산악 철도를 이용한 여행 코스와 실용 정보,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,국내여행,S,5
11-domestic-travel-hanbok-rental-guide,11-domestic-travel,11,hanbok-rental-guide,한국 한복 대여 방법,한국 한복 대여하는 방법과 추천 장소,howto,howto,한복 대여 절차와 위치별 대여처 비교,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,,1,여행,국내여행,S,6
11-domestic-travel-how-to-book-korean-campsite,11-domestic-travel,11,how-to-book-korean-campsite,한국 캠핑장 예약 방법,한국 캠핑장 예약 방법 및 팁,howto,howto,한국 캠핑장 예약을 성공적으로 하는 방법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,,1,여행,국내여행,S,7
11-domestic-travel-korean-highway-bus-travel-tips,11-domestic-travel,11,korean-highway-bus-travel-tips,한국 고속버스 여행 팁,한국 고속버스 여행 팁과 추천 코스,howto,tip,한국 고속버스로 여행하는 팁과 추천 코스,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,,1,여행,국내여행,S,8
11-domestic-travel-korea-marine-leisure-experience,11-domestic-travel,11,korea-marine-leisure-experience,한국 해양 레저 체험,한국 해양 레저 체험장 추천 및 예약 팁,info,howto,국내에서 즐길 수 있는 다양한 해양 레저 체험지,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,90,,1,여행,국내여행,S,9
11-domestic-travel-korea-village-festival-tour,11-domestic-travel,11,korea-village-festival-tour,한국 마을 축제 여행,한국 마을 축제 여행 및 체험 팁,info,review,국내에서 열리는 다양한 마을 축제 정보,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,90,,1,여행,국내여행,S,10
11-domestic-travel-korean-mountain-backpacking,11-domestic-travel,11,korean-mountain-backpacking,한국 산악 백패킹 코스,한국 산악 백패킹 추천 코스,compare,compare,한국에서 즐길 수 있는 백패킹 코스 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,90,,1,여행,국내여행,S,11
11-domestic-travel-korean-traditional-market-travel,11-domestic-travel,11,korean-traditional-market-travel,한국 전통 시장 여행,한국 전통 시장 여행 코스와 추천 상품,info,tip,한국 전통 시장을 여행하는 코스와 추천 상품,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,90,,1,여행,국내여행,S,12
11-domestic-travel-weekend-seoul-day-trip,11-domestic-travel,11,weekend-seoul-day-trip,주말 서울 주변 일일 여행,주말 서울 주변 일일 여행 코스 추천,info,tip,주말 서울 주변에서 즐길 수 있는 일일 여행 코스,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,90,,1,여행,국내여행,S,13
11-domestic-travel-korea-cave-tourist-spots,11-domestic-travel,11,korea-cave-tourist-spots,한국 동굴 여행지 추천,한국 동굴 여행지 추천 및 체험 팁,info,review,국내에서 탐험할 수 있는 동굴 여행지 목록,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,86,,1,여행,국내여행,S,14
11-domestic-travel-korea-drive-course-guide,11-domestic-travel,11,korea-drive-course-guide,대한민국 드라이브 코스 추천,대한민국 드라이브 코스 추천 및 팁,info,howto,국내에서 즐길 수 있는 다양한 드라이브 코스,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,86,,1,여행,국내여행,S,15
11-overseas-travel-europe-travel-local-language-tips,11-overseas-travel,11,europe-travel-local-language-tips,유럽 여행 현지 언어 기본 표현,유럽 여행 현지 언어 기본 표현과 활용 팁,howto,tip,유럽 여행 시 현지 언어의 기본 표현과 활용 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,해외여행,S,1
11-overseas-travel-europe-travel-local-transport,11-overseas-travel,11,europe-travel-local-transport,유럽 여행 현지 교통 이용법,유럽 여행 시 현지 교통 이용법과 대중교통 팁,howto,howto,유럽 현지 교통 이용법과 대중교통 사용 팁 제공,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,해외여행,S,2
11-overseas-travel-europe-travel-shopping-tips,11-overseas-travel,11,europe-travel-shopping-tips,유럽 여행 현지 쇼핑 꿀팁,유럽 여행 시 현지 쇼핑 꿀팁과 할인 방법,howto,tip,유럽 현지 쇼핑 시 할인과 구매 팁 제공,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,해외여행,S,3
11-overseas-travel-japan-travel-local-transportation,11-overseas-travel,11,japan-travel-local-transportation,일본 여행 현지 교통 이용법,일본 여행 현지 교통 이용법과 할인 방법,howto,howto,일본 여행 시 현지 교통 수단의 이용 방법과 할인 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,해외여행,S,4
11-overseas-travel-overseas-medical-facility,11-overseas-travel,11,overseas-medical-facility,해외여행 현지 의료시설 이용법,해외여행 현지 의료시설 이용 방법과 준비물,howto,howto,해외여행 시 현지 의료시설을 이용하는 방법과 준비물,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,해외여행,S,5
11-overseas-travel-overseas-shopping-card,11-overseas-travel,11,overseas-shopping-card,해외여행 현지 쇼핑 카드 사용법,해외여행 현지 쇼핑 카드 사용법과 주의사항,howto,howto,해외여행 시 현지 쇼핑 카드를 사용하는 방법과 주의사항,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,해외여행,S,6
11-overseas-travel-overseas-transport-card,11-overseas-travel,11,overseas-transport-card,해외여행 현지 교통 카드 구매,해외여행 현지 교통 카드 구매 방법과 꿀팁,howto,howto,해외여행 시 현지 교통 카드를 구매하고 사용하는 방법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,해외여행,S,7
11-overseas-travel-overseas-transport-guide,11-overseas-travel,11,overseas-transport-guide,해외여행 현지 교통 이용법,해외여행 현지 교통 이용 방법과 최적 경로,howto,howto,해외여행 시 현지 교통을 이용하는 방법과 최적 경로,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,해외여행,S,8
11-overseas-travel-overseas-travel-essentials-checklist,11-overseas-travel,11,overseas-travel-essentials-checklist,해외여행 필수 준비물 체크리스트,해외여행 필수 준비물 체크리스트와 패킹 팁,checklist,tip,해외여행 시 꼭 챙겨야 할 준비물과 효율적인 패킹 방법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,해외여행,S,9
11-overseas-travel-overseas-weather-prep,11-overseas-travel,11,overseas-weather-prep,해외여행 현지 날씨 대비법,해외여행 현지 날씨 대비 방법과 팁,howto,tip,해외여행 시 현지 날씨에 대비하는 방법과 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,해외여행,S,10
11-overseas-travel-southeast-asia-local-currency-tips,11-overseas-travel,11,southeast-asia-local-currency-tips,동남아 여행 현지 통화 사용법,동남아 여행 시 현지 통화 사용법과 교환 팁,howto,tip,동남아 현지 통화 사용법과 교환 시 유의사항,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,해외여행,S,11
11-overseas-travel-southeast-asia-shopping-tips,11-overseas-travel,11,southeast-asia-shopping-tips,동남아 여행 현지 쇼핑 꿀팁,동남아 여행 시 현지 쇼핑 꿀팁과 할인 방법,howto,tip,동남아 현지 쇼핑 시 할인과 구매 팁 제공,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,해외여행,S,12
11-overseas-travel-southeast-asia-travel-local-transport-card,11-overseas-travel,11,southeast-asia-travel-local-transport-card,동남아 여행 현지 교통 카드 사용법,동남아 여행 현지 교통 카드 사용법과 할인 방법,howto,howto,동남아 여행 시 현지 교통 카드의 사용 방법과 할인 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,해외여행,S,13
11-overseas-travel-southeast-asia-weather-preparation,11-overseas-travel,11,southeast-asia-weather-preparation,동남아 여행 현지 날씨 대비법,동남아 여행 시 현지 날씨 대비 방법과 체감온도,howto,howto,동남아 현지 날씨 대비 방법과 체감온도 안에,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,해외여행,S,14
11-overseas-travel-usa-travel-shopping-card-usage,11-overseas-travel,11,usa-travel-shopping-card-usage,미국 여행 현지 쇼핑 카드 사용법,미국 여행 시 현지 쇼핑 카드 사용법과 할인 방법,howto,howto,미국 현지 쇼핑 카드 사용법과 할인 방법 안내,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,해외여행,S,15
11-travel-tips-airport-shuttle-service,11-travel-tips,11,airport-shuttle-service,여행 중 현지 공항 셔틀 서비스 이용법,여행 중 현지 공항 셔틀 서비스 이용 방법,howto,howto,현지 공항 셔틀 서비스를 이용하는 방법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,여행꿀팁,S,1
11-travel-tips-essential-overseas-travel-items,11-travel-tips,11,essential-overseas-travel-items,해외 여행 필수 준비물,해외 여행 필수 준비물 체크리스트,checklist,howto,해외 여행을 위한 필수 준비물 목록,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,여행꿀팁,S,2
11-travel-tips-local-tour-bus-guide,11-travel-tips,11,local-tour-bus-guide,여행 중 현지 관광버스 이용법,여행 중 현지 관광버스 이용 방법과 팁,howto,howto,현지 관광버스를 이용하는 방법과 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,여행꿀팁,S,3
11-travel-tips-local-transport-tips,11-travel-tips,11,local-transport-tips,여행지 현지 교통 꿀팁,여행지 현지 교통 이용하는 꿀팁,howto,tip,여행지 현지 교통을 효과적으로 이용하는 방법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,여행꿀팁,S,4
11-travel-tips-travel-emergency-medicine,11-travel-tips,11,travel-emergency-medicine,여행 중 비상약 챙기기,여행 중 비상약 챙기기: 건강 관리 팁,howto,tip,여행 중 비상약을 챙기는 방법과 건강 관리 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,여행꿀팁,S,5
11-travel-tips-travel-fertilizer-purchase-guide,11-travel-tips,11,travel-fertilizer-purchase-guide,여행 중 비료 구매 가이드,여행 중 비료를 구매할 때 체크리스트,checklist,start,여행 중 비료 구매 시 필요한 모든 정보,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,여행꿀팁,S,6
11-travel-tips-wireless-charger-travel-tips,11-travel-tips,11,wireless-charger-travel-tips,여행 중 무선 충전기 사용법,여행 중 무선 충전기 활용하는 법,howto,tip,여행 중에 무선 충전기를 활용하는 다양한 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,여행꿀팁,S,7
11-travel-tips-airport-lounge-howto-use,11-travel-tips,11,airport-lounge-howto-use,여행 중 공항 라운지 이용 방법,여행 중 공항 라운지 이용 방법과 혜택,howto,howto,공항 라운지를 이용하는 방법과 혜택,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,,1,여행,여행꿀팁,S,8
11-travel-tips-cheap-air-ticket-reservation,11-travel-tips,11,cheap-air-ticket-reservation,저렴한 항공권 예약 방법,저렴한 항공권 예약하는 방법과 팁,howto,tip,항공권을 저렴하게 예약하는 방법과 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,,1,여행,여행꿀팁,S,9
11-travel-tips-check-travel-weather,11-travel-tips,11,check-travel-weather,여행지 날씨 확인 방법,여행지 날씨 확인 방법과 팁,howto,howto,여행지 날씨를 확인하는 방법과 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,,1,여행,여행꿀팁,S,10
09-seoul-food-gangnam-business-lunch-course,09-seoul-food,09,gangnam-business-lunch-course,강남역 비즈니스 라운치 코스,강남역 비즈니스 라운치 추천 코스와 장점 비교,compare,local,강남역에서 비즈니스 라운치에 적합한 코스와 장점을 비교한 가이드,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,맛집/카페,서울 맛집,S,1
09-seoul-food-hongdae-club-guide,09-seoul-food,09,hongdae-club-guide,홍대 클럽 입장 가이드,홍대 클럽 입장 방법과 주의사항 상세 가이드,howto,local,홍대 클럽에 입장하는 방법과 주의사항을 상세히 안내합니다,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,맛집/카페,서울 맛집,S,2
09-seoul-food-yongsan-station-couple-cafe,09-seoul-food,09,yongsan-station-couple-cafe,용산역 커플 카페 가이드,용산역 데이트 코스와 인스타그램 필터 카페,howto,local,용산역 주변 데이트 코스와 인스타그램 필터 추천 카페,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,맛집/카페,서울 맛집,S,3
09-seoul-food-gangnam-long-table-cafe-reservation,09-seoul-food,09,gangnam-long-table-cafe-reservation,강남역 롱테이블 카페 예약 팁,강남역 롱테이블 카페 예약 팁 5가지,howto,tip,강남역 롱테이블 카페 예약을 성공적으로 하는 방법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,,1,맛집/카페,서울 맛집,S,4
09-seoul-food-itaewon-club-reservation,09-seoul-food,09,itaewon-club-reservation,이태원 클럽 예약 방법,이태원 클럽 예약 방법 | 라인 스탠딩·VIP 예약 과정,howto,start,이태원 클럽을 예약하는 방법을 단계별로 안내,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,,1,맛집/카페,서울 맛집,S,5
09-seoul-food-seongsu-brunch-booking-tip,09-seoul-food,09,seongsu-brunch-booking-tip,성수동 브런치 예약 팁,성수동 브런치 예약 성공을 위한 팁과 시간대,howto,tip,성수동 브런치 예약 성공을 위한 팁과 시간대 안내,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,,1,맛집/카페,서울 맛집,S,6
09-seoul-food-seongsu-brunch-cafe-reservation,09-seoul-food,09,seongsu-brunch-cafe-reservation,서울 성수동 브런치 카페 예약 방법,성수동 브런치 카페 예약 방법 | 인기 메뉴와 코스,howto,tip,성수동 브런치 카페 예약 방법과 인기 메뉴를 소개합니다.,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,,1,맛집/카페,서울 맛집,S,7
09-seoul-food-guro-business-dinner,09-seoul-food,09,guro-business-dinner,구로디지털단지역 회식 코스,구로디지털단지역 회식 코스 3가지 | 저녁·간식 추천,review,local,구로디지털단지역에서 회식하기 좋은 코스 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,90,,1,맛집/카페,서울 맛집,S,8
09-seoul-food-seochogu-date-course,09-seoul-food,09,seochogu-date-course,서울 서초구 데이트 코스,서울 서초구에서 데이트하기 좋은 코스 10가지,review,local,서초구에서 로맨틱한 데이트 코스,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,90,,1,맛집/카페,서울 맛집,S,9
